time,semitone
14940,61
15180,64
15420,68
15660,66
15780,66
16140,64
16260,64
16620,61
16740,59
16980,57
17340,64
18780,54
19020,57
19140,64
19500,61
19620,61
19980,59
20100,59
20460,57
20580,57
20820,54
21180,59
22620,61
22860,64
23100,68
23340,66
23460,66
23820,64
23940,64
24300,61
24420,59
24660,57
25020,64
26460,54
26700,57
26820,64
27180,61
27300,61
27660,59
27780,59
28380,57
28500,57
28740,54
28860,59
30300,61
30540,59
30660,57
30780,59
31020,57
32220,61
32460,59
32580,57
32700,61
32940,59
34140,61
34380,59
34500,57
34620,59
34860,57
36060,61
36300,59
36420,57
36540,61
36780,59
39900,64
40140,64
40380,71
40620,71
40740,69
40980,68
41220,69
41820,64
42060,64
42300,71
42540,71
42660,69
42900,68
43140,69
43740,64
43980,64
44220,64
44460,62
44580,69
44820,62
45060,62
45660,62
45780,61
46020,59
46140,61
46380,61
46500,68
46740,61
46980,61
47580,64
47820,64
48060,71
48300,71
48420,69
48660,68
48900,69
49500,64
49740,64
49980,71
50220,71
50340,69
50580,68
50820,69
51420,64
51660,64
51900,64
52140,62
52260,69
53340,64
53580,64
53820,64
54060,62
54180,71
57180,61
57420,64
57660,68
57900,66
58020,66
58380,64
58500,64
58860,61
58980,59
59220,57
59580,64
61020,54
61260,57
61380,64
61740,61
61860,61
62220,59
62340,59
62940,57
63060,57
63300,54
63420,59
64860,61
65100,59
65220,57
65340,59
65580,57
66780,61
67020,59
67140,57
67260,61
67500,59
68700,61
68940,59
69060,57
69180,59
69420,57
70620,61
70860,59
70980,57
71100,61
71340,59
74460,64
74700,64
74940,71
75180,71
75300,69
75540,68
75780,69
76380,64
76620,64
76860,71
77100,71
77220,69
77460,68
77700,69
78300,64
78540,64
78780,64
79020,62
79140,69
79380,62
79620,62
80220,62
80340,61
80580,59
80700,61
80940,61
81060,68
81300,61
81540,61
82140,64
82380,64
82620,71
82860,71
82980,69
83220,68
83460,69
84060,64
84300,64
84540,71
84780,71
84900,69
85140,68
85380,69
85980,64
86220,64
86460,64
86700,62
86820,69
87900,64
88140,64
88380,64
88620,62
88740,71
89880,59
90000,61
90240,61
90780,57
90840,59
90960,61
91200,61
91740,57
91860,59
91920,61
92220,61
92580,59
92760,57
92940,59
93600,57
93720,59
93900,61
94140,61
94620,57
94740,59
94860,61
95100,61
95580,57
95700,59
95820,61
96060,61
96420,59
96660,57
96780,59
97500,57
97620,59
97740,61
97980,61
98460,57
98580,59
98640,61
98940,61
99360,57
99540,59
99600,61
99900,61
100260,59
100500,57
100620,59
101340,57
101400,59
101520,61
101820,61
102300,57
102420,59
102480,61
102720,61
103260,57
103380,59
103440,61
103740,61
104100,59
104340,57
104400,59
105180,64
105420,64
105660,71
105900,71
106020,69
106260,68
106500,69
107100,64
107340,64
107580,71
107820,71
107940,69
108180,68
108420,69
109020,64
109260,64
109500,64
109740,62
109860,69
110100,62
110340,62
110940,62
111060,61
111300,59
111420,61
111660,61
111780,68
112020,61
112260,61
112860,64
113100,64
113340,71
113580,71
113700,69
113940,68
114180,69
114780,64
115020,64
115260,71
115500,71
115620,69
115860,68
116100,69
116700,64
116940,64
117180,64
117420,62
117540,69
118620,64
118860,64
119100,64
119340,62
119460,71
120540,64
120780,64
121020,71
121260,71
121380,69
121620,68
121860,69
122460,64
122700,64
122940,71
123180,71
123300,69
123540,68
123780,69
124380,64
124620,64
124860,64
125100,62
125220,69
125460,62
125700,62
126300,62
126420,61
126660,59
126780,61
127020,61
127140,68
127380,61
127620,61
128220,64
128460,64
128700,71
128940,71
129060,69
129300,68
129540,69
130140,64
130380,64
130620,71
130860,71
130980,69
131220,68
131460,69
132060,64
132300,64
132540,64
132780,62
132900,69
133980,64
134220,64
134460,64
134700,62
134820,71
