time,semitone
18660,57
18720,59
18840,59
18960,59
19140,59
19440,57
20820,57
20940,59
21100,57
21400,56
22720,56
22900,56
23080,56
23320,57
23500,54
24640,54
24820,54
25000,54
25240,56
25420,52
26380,59
26380,57
26560,57
26740,56
26860,57
26880,59
27180,57
28500,57
28620,59
28800,57
29100,56
29280,64
30540,61
30720,68
30720,67
31020,66
31380,61
31560,68
31560,67
31920,66
32400,61
32520,61
32640,64
32640,63
33300,63
33420,61
33600,63
34080,59
34080,57
34200,59
34380,59
34500,59
34860,57
36120,57
36300,59
36420,57
36720,56
37080,64
37920,68
37920,67
38040,68
38160,68
38340,68
38340,67
38700,66
39840,64
39840,63
39960,63
40140,61
40320,61
40620,59
41700,57
41760,59
41880,57
42060,56
42240,59
42240,57
42540,57
43860,57
43980,59
44160,57
44460,56
44820,64
45840,61
46020,68
46020,67
46380,66
46800,61
47040,68
47040,67
47340,66
47700,61
47820,61
48000,68
48000,67
49560,69
49740,68
49860,68
50180,66
51260,59
51500,61
51680,63
51840,66
52140,66
52320,64
52620,64
52800,63
53100,64
53400,64
53580,64
53760,64
54060,61
54360,57
54540,56
54660,54
55020,59
55320,61
55500,63
55680,66
55980,66
56140,64
56980,63
57100,64
57460,71
58920,59
59100,61
59400,63
59800,66
59980,64
60280,64
60460,63
60760,64
61120,64
61240,64
61420,64
61720,61
62080,57
62200,56
62380,54
62700,59
63000,61
63180,63
63360,69
63660,69
63840,71
66840,66
66864,68
66984,66
67164,68
67224,66
67344,64
70530,59
70530,57
70710,59
70890,59
71010,59
71370,57
72630,57
72750,59
72930,57
73224,56
73584,64
74364,68
74364,67
74544,68
74664,68
74844,68
74844,67
75144,66
76284,63
76344,64
76464,63
76644,61
76764,61
77064,59
78204,59
78204,57
78384,57
78564,56
78684,59
78684,57
78984,57
80304,57
80484,59
80604,57
80964,56
81324,64
82344,61
82524,68
82524,67
82824,66
83304,61
83484,68
83484,67
83784,66
84144,61
84324,61
84444,68
84444,67
86064,69
86184,68
86364,68
86685,66
87705,59
88005,61
88125,63
88285,66
88644,66
88824,64
89124,64
89244,63
89604,64
89904,64
90084,64
90204,64
90570,61
90870,57
90990,56
91170,54
91530,59
91830,61
92010,63
92130,66
92424,66
92584,64
93424,63
93604,64
93964,71
95370,59
95550,61
95850,63
96030,66
96330,66
96450,64
96810,64
96990,63
97290,64
97650,64
97770,64
97950,64
98250,61
98550,57
98730,56
98910,54
99230,59
99530,61
99710,63
99830,69
100164,69
100344,71
103344,66
103368,68
103488,66
103668,68
103728,66
103788,64
126240,61
126540,63
126660,65
126810,68
127170,68
127290,66
127650,66
127770,65
128070,66
128430,66
128550,66
128730,66
129030,63
129330,59
129510,58
129690,56
129990,61
130350,63
130470,65
130650,68
130950,68
131110,66
131950,65
132130,66
132430,73
133890,61
134070,63
134370,65
134490,68
134850,68
134970,66
135270,66
135450,65
135810,66
136110,66
136290,66
136410,66
136770,63
137070,59
137250,58
137370,56
137690,61
138050,63
138170,65
138330,71
138630,71
138810,73
141810,68
141834,70
142014,68
142155,70
142275,68
142335,66
145455,61
145755,63
145875,65
146040,68
146400,68
146520,66
146880,66
147000,65
147300,66
147660,66
147780,66
147960,66
148260,63
148560,59
148740,58
148920,56
149220,61
149580,63
149700,65
149880,68
150180,68
150340,66
151180,65
151360,66
151660,73
153090,61
153270,63
153570,65
153690,68
154050,68
154170,66
154470,66
154650,65
155010,66
155310,66
155490,66
155610,66
155970,63
156270,59
156450,58
156570,56
156890,61
157250,63
157370,65
