time,semitone
11280,57
11400,59
11520,61
11760,59
11880,61
12240,59
12360,61
12720,61
12960,64
13200,59
15120,57
15240,59
15360,61
15600,61
16200,61
16320,61
16560,61
16800,64
17040,59
17640,57
17760,59
17880,61
18000,59
18120,57
18960,57
19080,59
19200,61
19440,59
19560,61
19920,59
20040,61
20400,61
20640,64
20880,59
22800,57
22920,59
23040,61
23280,59
23520,61
23760,64
24000,69
24240,68
24480,64
24720,64
26640,62
26760,61
26880,62
27120,62
27360,69
27600,69
28560,64
28800,64
29040,71
29280,69
29520,64
30480,59
30600,61
30720,62
31080,62
31200,62
31560,61
31680,62
32040,61
32160,62
32400,64
32520,64
35280,61
35400,62
35520,64
35760,64
35880,64
36000,64
36120,66
36240,64
37200,61
37320,62
37440,64
37680,64
37800,64
37920,64
38040,66
38160,64
39120,61
39240,62
39360,64
39600,64
39840,66
40080,64
40560,64
40800,64
41040,64
41280,69
41520,71
41760,73
42000,73
42960,61
43080,62
43200,64
43440,64
43560,64
43680,64
43800,66
43920,64
44400,69
44640,68
44880,71
45120,66
45600,64
45840,64
46800,66
46920,68
47040,69
47280,69
47400,69
47880,69
48000,68
48240,66
48480,64
48720,66
50640,66
50760,68
50880,69
51240,69
51360,69
51480,69
51600,69
51840,69
52080,68
52320,69
52560,69
54240,73
54720,71
56400,57
56520,59
56640,61
56880,59
57000,61
57360,59
57480,61
57840,61
58080,64
58320,59
60240,57
60360,59
60480,61
60720,61
61320,61
61440,61
61680,61
61920,64
62160,59
62760,59
62880,59
63000,61
63120,59
63240,57
64080,57
64200,59
64320,61
64560,59
64680,61
65040,59
65160,61
65520,69
65760,68
66000,64
67800,64
67920,64
68040,66
68160,69
68400,66
68520,66
69360,64
69600,64
69840,64
70080,69
70320,71
70560,73
70800,71
71760,62
71880,61
72000,62
72240,62
72480,69
72720,69
73680,64
73920,64
74160,71
74400,73
74640,69
75600,59
75720,61
75840,62
76200,62
76320,62
76680,61
76800,62
77160,61
77280,62
77520,66
77640,66
78000,64
79440,61
79560,62
79680,64
79920,64
80040,64
80160,64
80280,66
80400,64
81360,61
81480,62
81600,64
81840,64
81960,64
82080,64
82200,66
82320,64
83280,61
83400,62
83520,64
83760,64
84000,66
84240,64
84720,64
84960,64
85200,64
85440,69
85680,71
85920,73
86160,73
87120,61
87240,62
87360,64
87600,64
87720,64
87840,64
87960,66
88080,64
88560,69
88800,68
89040,71
89280,66
89760,64
90000,64
90960,66
91080,68
91200,69
91440,69
91560,69
92040,69
92160,68
92400,66
92640,64
92880,66
94800,66
94920,68
95040,69
95400,69
95520,69
95640,69
95760,69
96000,69
96240,68
96480,69
96960,69
97680,64
97800,66
97920,69
98160,66
98280,69
98520,71
98760,71
98880,68
99120,66
99360,64
99600,64
100560,64
100680,66
100800,69
101040,66
101160,69
101520,66
101640,69
102000,66
102120,69
102600,64
102720,73
102960,74
103200,73
103440,71
105360,64
105480,66
105600,69
105840,66
105960,69
106440,69
106560,73
106800,71
107040,69
107280,66
107520,64
108120,64
108240,64
108360,66
108480,69
108840,69
108960,69
109080,69
109200,66
109440,69
109680,66
109920,69
110160,71
112080,70
112200,71
112320,73
114000,70
114480,68
114960,66
115440,68
115920,62
116040,64
116160,66
116400,66
116520,66
116640,66
116760,68
116880,66
117840,63
117960,64
118080,66
118320,66
118440,66
118560,66
118680,68
118800,66
119760,63
119880,64
120000,66
120240,66
120480,68
120720,66
121200,66
121440,66
121680,66
121920,75
122160,73
122400,71
122640,68
123120,66
123600,63
123720,64
123840,66
124080,66
124200,66
124320,66
124440,68
124560,66
125040,71
125280,70
125520,73
125760,68
126240,66
126480,66
127440,68
127560,70
127680,71
127920,71
128040,71
128520,71
128640,70
128880,68
129120,66
129360,68
131280,68
131400,70
131520,71
131880,71
132000,71
132120,71
132240,71
132480,75
132720,73
132960,71
133440,71
137040,63
137160,64
137280,66
137520,66
137760,68
138000,66
138480,66
138720,66
138960,66
139200,75
139440,73
139680,71
139920,68
140400,66
140880,63
141000,64
141120,66
141360,66
141480,66
141600,66
141720,68
141840,66
142320,71
142560,70
142800,73
143040,68
143520,66
143760,66
144720,68
144840,70
144960,71
145200,71
145320,71
145800,71
145920,70
146160,68
146400,66
146640,68
148560,68
148680,70
148800,71
149160,71
149280,71
149400,71
149520,71
149760,71
150000,70
150240,71
150720,71
154080,63
154320,63
157920,66
158040,64
158160,63
158280,64
158400,63
