time,semitone
30720,79
32700,79
34140,79
35040,79
35940,79
36900,79
37920,79
38880,79
39720,79
40800,52
41040,52
41280,54
41760,57
42000,59
42960,57
43200,61
43680,59
44640,52
44880,52
45120,54
45600,57
45840,59
46560,64
46800,64
48480,52
48720,52
48960,54
49440,57
49680,59
50640,57
50880,61
51360,59
52320,52
52560,52
52800,54
53280,64
53520,64
55680,66
55920,66
56160,66
56880,66
57120,66
57360,69
57600,66
58080,64
58320,64
59520,62
59760,62
60000,62
60720,62
60960,62
61200,64
61440,62
61920,61
62160,61
63360,66
63600,66
63840,66
64560,66
64800,66
65040,69
65280,66
65760,64
66000,64
66480,64
66720,66
66960,69
67200,71
68160,69
68880,68
72960,73
73200,72
73440,73
73680,69
74160,64
74400,66
74640,69
74880,73
75120,72
75360,73
75600,69
76080,64
76320,66
76560,69
76800,73
77280,73
77760,71
78240,69
78480,73
78960,71
80640,73
80880,72
81120,73
81360,69
81840,64
82080,66
82320,69
82560,73
82800,72
83040,73
83280,69
83760,64
84000,66
84240,69
84480,73
84960,73
85440,71
85920,69
86160,73
86640,71
88320,66
88560,66
88800,66
89520,66
89760,66
90000,69
90240,66
90720,64
90960,64
92160,62
92400,62
92640,62
93360,62
93600,62
93840,64
94080,62
94560,61
94800,61
96000,66
96240,66
96480,66
97200,66
97440,66
97680,69
97920,66
98400,64
98640,64
99120,64
99360,66
99600,69
99840,71
100800,69
101520,68
103680,73
103920,72
104160,73
104400,69
104880,64
105120,66
105360,69
105600,73
105840,72
106080,73
106320,69
106800,64
107040,66
107280,69
107520,73
108000,73
108480,71
108960,69
109200,73
109680,71
111360,73
111600,72
111840,73
112080,69
112560,64
112800,66
113040,69
113280,73
113520,72
113760,73
114000,69
114480,64
114720,66
114960,69
115200,73
115680,73
116160,71
116640,69
116880,73
117360,71
134880,52
135120,52
135360,54
135840,57
136080,59
137040,57
137280,61
137760,59
138720,52
138960,52
139200,54
139680,57
139920,59
140640,64
140880,64
142560,52
142800,52
143040,54
143520,57
143760,59
144720,57
144960,61
145440,59
146400,52
146640,52
146880,54
147360,64
147600,64
149760,66
150000,66
150240,66
150960,66
151200,66
151440,69
151680,66
152160,64
152400,64
153600,62
153840,62
154080,62
154800,62
155040,62
155280,64
155520,62
156000,61
156240,61
157440,66
157680,66
157920,66
158640,66
158880,66
159120,69
159360,66
159840,64
160080,64
160560,64
160800,66
161040,69
161280,71
162240,69
162960,68
165120,73
165360,72
165600,73
165840,69
166320,64
166560,66
166800,69
167040,73
167280,72
167520,73
167760,69
168240,64
168480,66
168720,69
168960,73
169440,73
169920,71
170400,69
170640,73
171120,71
172800,73
173040,72
173280,73
173520,69
174000,64
174240,66
174480,69
174720,73
174960,72
175200,73
175440,69
175920,64
176160,66
176400,69
176640,73
177120,73
177600,71
178080,69
178320,73
178800,71
193920,73
194160,72
194400,73
194640,69
195120,64
195360,66
195600,69
195840,73
196080,72
196320,73
196560,69
197040,64
197280,66
197520,69
197760,73
198240,73
198720,71
199200,69
199440,73
199920,71
201600,73
201840,72
202080,73
202320,69
202800,64
203040,66
203280,69
203520,73
203760,72
204000,73
204240,69
204720,64
204960,66
205200,69
205440,73
205920,73
206400,71
206880,69
207120,73
207600,71
209280,73
209520,72
209760,73
210000,69
210480,64
210720,66
210960,69
211200,73
211440,72
211680,73
211920,69
212400,64
212640,66
212880,69
213120,73
213600,73
214080,71
214560,69
214800,73
215280,71
216960,73
217200,72
217440,73
217680,69
218160,64
218400,66
218640,69
218880,73
219120,72
219360,73
219600,69
220080,64
220320,66
220560,69
220800,73
221280,73
221760,71
222240,69
222480,73
222960,71
224640,73
224880,72
225120,73
225360,69
225840,64
226080,66
226320,69
226560,73
226800,72
227040,73
227280,69
227760,64
228000,66
228240,69
228480,73
228960,73
229440,71
229920,69
230160,73
230640,71
232320,73
232560,72
232800,73
233040,69
233520,64
233760,66
234000,69
234240,73
234480,72
234720,73
234960,69
235440,64
235680,66
235920,69
236160,73
236640,73
237120,71
237600,69
237840,73
238320,71
240000,73
240240,72
240480,73
240720,69
241200,64
241440,66
241680,69
241920,73
242160,72
242400,73
242640,69
243120,64
243360,66
243600,69
243840,73
244320,73
244800,71
245280,69
245520,73
246000,71
247680,73
247920,72
248160,73
248400,69
248880,64
249120,66
249360,69
249600,73
249840,72
250080,73
250320,69
250800,64
251040,66
251280,69
251520,73
252000,73
252480,71
252960,69
253200,73
253680,71
