time,semitone
11460,58
11520,60
11760,60
12000,60
12240,59
12480,60
12960,63
12960,62
13440,62
13680,60
13920,60
14160,60
14220,62
14400,59
14880,67
14880,65
15120,67
15360,67
15600,65
15840,65
16080,63
16320,65
16800,67
16800,65
17280,67
17520,65
17760,65
18000,63
18240,62
19140,58
19200,60
19440,60
19680,60
19920,59
20160,60
20640,63
20640,62
21120,62
21360,60
21600,60
21840,60
21900,62
22080,59
22560,67
22560,65
23100,67
23280,65
23520,65
23760,63
24000,65
24000,63
24480,67
24480,65
24960,67
25200,65
25440,65
25680,63
25800,62
25920,63
26040,62
26880,67
27120,68
27360,65
27600,67
27840,63
28800,67
28800,65
29040,65
29280,63
29520,62
29760,63
29880,62
30000,60
30660,62
30660,60
30720,63
30960,60
31080,60
31320,58
31440,60
32580,62
32580,60
32640,64
32880,60
33000,60
33240,58
33360,60
34500,65
34560,67
35820,65
36000,68
36000,67
36240,67
37380,68
37440,70
37680,68
37920,67
38160,67
38640,64
38880,60
39600,60
39840,64
39840,65
40080,64
42240,67
42240,65
43440,64
43680,68
43680,67
43920,67
44400,64
44640,60
45060,68
45120,70
45360,68
45600,67
45840,67
46320,64
46560,60
47280,60
47520,64
47520,65
47760,64
57540,58
57600,60
57840,60
58080,60
58320,59
58560,60
59040,63
59040,62
59520,62
59760,60
60000,60
60240,60
60300,62
60480,59
60960,67
60960,65
61200,67
61440,67
61680,65
61920,65
62160,63
62400,65
62880,67
62880,65
63360,67
63600,65
63840,65
64080,63
64320,62
65220,58
65280,60
65520,60
65760,60
66000,59
66240,60
66720,63
66720,62
67200,62
67440,60
67680,60
67920,60
67980,62
68160,59
68640,67
68640,65
69180,67
69360,65
69600,65
69840,63
70080,65
70080,63
70560,67
70560,65
71040,67
71280,65
71520,65
71760,63
71880,62
72000,63
72120,62
72960,67
73200,68
73440,65
73680,67
73920,63
74880,67
74880,65
75120,65
75360,63
75600,62
75840,63
75960,62
76080,60
76740,62
76740,60
76800,63
77040,60
77160,60
77400,58
77520,60
78660,62
78660,60
78720,64
78960,60
79080,60
79320,58
79440,60
80580,65
80640,67
81900,65
82080,68
82080,67
82320,67
83460,68
83520,70
83760,68
84000,67
84240,67
84720,64
84960,60
85680,60
85920,64
85920,65
86160,64
88320,67
88320,65
89520,64
89760,68
89760,67
90000,67
90480,64
90720,60
91140,68
91200,70
91440,68
91680,67
91920,67
92400,64
92640,60
93360,60
93600,64
93600,65
93840,64
111300,65
111360,67
112620,65
112800,68
112800,67
113040,67
114180,68
114240,70
114480,68
114720,67
114960,67
115440,64
115680,60
116400,60
116640,64
116640,65
116880,64
119040,67
119040,65
120240,64
120480,68
120480,67
120720,67
121200,64
121440,60
121860,68
121920,70
122160,68
122400,67
122640,67
123120,64
123360,60
124080,60
124320,64
124320,65
124560,64
126660,65
126720,67
127980,65
128160,68
128160,67
128400,67
129540,68
129600,70
129840,68
130080,67
130320,67
130800,64
131040,60
131760,60
132000,64
132000,65
132240,64
134400,67
134400,65
135600,64
135840,68
135840,67
136080,67
136560,64
136800,60
137220,68
137280,70
137520,68
137760,67
138000,67
138480,64
138720,60
139440,60
139680,64
139680,65
139920,64
