time,semitone
19200,68
19920,66
20640,64
21120,63
21840,61
22560,59
23040,63
26880,68
27600,66
28320,64
28800,63
29520,61
30240,59
30720,63
34560,68
35280,66
36000,64
36480,63
37200,61
37800,63
42000,59
42240,68
42960,66
43680,64
44160,63
44880,61
49920,64
50640,64
51360,64
51840,63
53280,63
53520,61
57360,59
57600,64
58320,64
59040,64
59520,63
60240,63
60960,66
61440,61
65280,64
66000,66
66720,68
67200,71
67920,71
68640,71
68880,70
72960,64
73680,66
74400,68
74880,71
75600,71
76320,71
76560,70
80640,71
81360,70
82080,68
82560,66
83280,64
84000,63
84480,63
85920,63
86160,61
88320,71
89040,70
89760,68
90240,66
90960,64
91680,63
91920,66
96000,71
96720,70
97440,68
97920,66
98640,64
99360,63
99840,63
101280,66
101520,70
103680,71
104400,70
105120,68
105600,66
106320,64
107040,63
107520,66
108960,71
109440,70
111360,71
111360,68
111360,64
112080,64
112080,70
112080,66
112800,64
112800,68
112800,64
113280,66
113280,63
113280,59
114000,64
114000,59
114000,61
114720,59
114720,63
114720,59
115200,59
115200,63
115200,56
116640,59
116640,63
116640,56
116880,61
116880,58
116880,54
119040,71
119040,64
119760,70
119760,64
120480,68
120480,64
120960,66
120960,59
121680,64
121680,59
122400,63
122400,59
122640,66
122640,63
126720,71
126720,68
126720,64
127440,64
127440,70
127440,66
128160,64
128160,68
128160,64
128640,66
128640,63
128640,59
129360,64
129360,59
129360,61
130080,59
130080,63
130080,59
130560,59
130560,63
130560,56
132000,59
132000,63
132000,56
132240,66
132240,63
132240,54
134400,71
134400,68
135120,70
135120,66
135840,64
135840,68
136320,66
136320,63
137040,64
137040,61
137760,63
137760,59
138240,66
138240,63
172800,64
173520,64
174240,64
174720,63
175440,63
176160,63
176400,61
180480,64
181200,64
181920,64
182400,63
183120,63
183840,63
184080,61
188160,64
188880,66
189600,68
190080,71
190800,71
191520,70
195840,64
196560,66
197280,68
197760,71
198480,71
199200,71
199680,73
203520,71
204240,70
204960,68
205440,66
206160,64
206880,63
207360,63
208800,63
209040,61
211200,71
211920,70
212640,68
213120,66
213840,64
214560,63
214800,66
218880,71
219600,70
220320,68
220800,66
221520,64
222240,63
222720,63
224160,66
224400,70
226560,71
227280,71
228000,71
228480,71
229200,71
229920,66
230400,71
231840,71
232320,70
234240,71
234240,68
234240,64
234960,64
234960,70
234960,66
235680,64
235680,68
235680,64
236160,66
236160,63
236160,59
236880,64
236880,59
236880,61
237600,59
237600,63
237600,59
238080,59
238080,63
238080,56
239520,59
239520,63
239520,56
239760,61
239760,58
239760,54
241920,71
241920,64
242640,70
242640,64
243360,68
243360,64
243840,66
243840,59
244560,64
244560,59
245280,63
245280,59
245520,66
245520,63
249600,71
249600,68
249600,64
250320,64
250320,70
250320,66
251040,64
251040,68
251040,64
251520,66
251520,63
251520,59
252240,64
252240,59
252240,61
252960,59
252960,63
252960,59
253440,59
253440,63
253440,56
254880,59
254880,63
254880,56
255120,66
255120,63
255120,54
257280,71
257280,71
257280,68
258000,71
258000,66
258720,64
258720,71
258720,68
259200,71
259200,66
259200,63
259920,64
259920,71
259920,61
260640,59
260640,66
260640,63
261120,71
261120,66
261120,63
262560,73
262560,66
262800,70
262800,66
