time,semitone
24960,64
25200,62
25440,60
25680,59
26160,57
26640,60
27120,59
27600,52
28800,57
29040,59
29280,60
29520,62
30000,60
30480,64
30960,67
31440,62
32400,57
32640,64
32880,62
33120,60
33360,59
33840,57
34320,60
34800,59
35280,52
36240,52
36480,57
36720,59
36960,60
37200,62
37680,60
37920,60
38160,64
38640,67
39120,66
40320,64
40560,62
40800,60
41040,59
41520,57
42000,60
42480,59
42960,52
44160,57
44400,59
44640,60
44880,62
45360,60
45840,64
46320,67
46800,66
48000,64
48240,62
48480,60
48720,59
49200,57
49680,60
50160,59
50640,52
51600,52
51840,57
52080,59
52320,60
52560,62
52920,60
53040,60
53520,64
54000,67
54480,66
56640,64
57120,65
57360,65
60000,64
60240,64
60720,64
61200,65
61680,67
62160,69
62640,70
63120,69
64320,64
64800,65
65040,70
65520,69
66720,65
66960,64
68640,64
68880,65
72000,64
72480,65
72720,65
75360,64
75600,64
76080,64
76560,65
77040,67
77520,69
78000,70
78480,69
79680,64
80160,65
80400,70
80880,69
82080,65
82320,64
84000,64
84240,65
88320,64
88560,62
88800,60
89040,59
89520,57
90000,60
90480,59
90960,52
92160,57
92400,59
92640,60
92880,62
93360,60
93840,64
94320,67
94800,62
96000,64
96240,62
96480,60
96720,59
97200,57
97680,60
98160,59
98640,52
99840,57
100080,59
100320,60
100560,62
101040,60
101520,64
102000,67
102480,66
103680,64
103920,62
104160,60
104400,59
104880,57
105360,60
105840,59
106320,52
107280,52
107520,57
107760,59
108000,60
108240,62
108720,60
109200,64
109680,67
110160,66
111120,52
111360,64
111600,62
111840,60
112080,59
112560,57
113040,60
113520,59
114000,52
115200,57
115440,59
115680,60
115920,62
116400,60
116880,64
117360,67
117840,66
120000,64
120480,65
120720,65
123360,64
123600,64
124080,64
124560,65
125040,67
125520,69
126000,70
126480,69
127680,64
128160,65
128400,70
128880,69
130080,65
130320,64
132000,64
132240,65
135360,64
135840,65
136080,65
138720,64
138960,64
139440,64
139920,65
140400,67
140880,69
141360,70
141840,69
143040,64
143520,65
143760,70
144240,69
145440,65
145680,64
147360,64
147600,65
168000,64
168480,65
168720,65
171360,64
171600,64
172080,64
172560,65
173040,67
173520,69
174000,70
174480,69
175680,64
176160,65
176400,70
176880,69
178080,65
178320,64
180000,64
180240,65
183360,64
183840,65
184080,65
186720,64
186960,64
187440,64
187920,65
188400,67
188880,69
189360,70
189840,69
191040,64
191520,65
191760,70
192240,69
193440,65
193680,64
195360,64
195600,65
