time,semitone
28800,72
29280,79
29760,75
30240,74
31200,72
31680,71
32400,69
32640,71
33120,72
34560,72
35040,79
35520,75
36000,74
36960,72
37440,70
38160,67
38400,70
38880,72
40320,72
40800,79
41280,75
41760,74
42720,72
43200,71
44160,72
44400,74
44640,75
45840,72
46080,72
46560,79
47040,75
47520,77
48960,74
49440,70
49920,67
50400,72
57600,72
58080,79
58560,75
59040,74
60000,72
60240,72
60480,71
61440,69
61680,71
61920,72
63360,72
63840,79
64320,75
64800,74
65760,72
66240,70
66960,67
67200,70
67680,72
69120,72
69600,79
70080,75
70560,74
71520,72
72000,71
72960,72
73200,74
73440,75
74640,72
74880,72
75360,79
75840,75
76320,77
77760,74
78240,70
78720,67
79200,72
83520,84
84240,84
84960,82
85680,77
86400,79
87600,75
87840,74
88320,75
88800,77
89280,79
90000,79
90720,77
91440,74
92160,75
95040,84
95760,84
96480,82
97200,77
97920,79
99120,79
99360,79
99840,80
100320,79
100800,79
101520,80
102240,79
102960,80
103680,79
106560,84
107280,84
108000,82
108720,77
109440,79
110640,75
110880,74
111360,75
111840,77
112320,79
113040,79
113760,77
114480,74
115200,75
118080,84
118800,87
119520,86
120240,79
120960,89
121920,87
122400,86
122880,87
123360,86
123840,84
126720,87
127440,87
128160,86
128880,79
129600,84
132480,72
132960,79
133440,75
133920,74
134880,72
135360,71
136080,69
136320,71
136800,72
138240,72
138720,79
139200,75
139680,74
140640,72
141120,70
141840,67
142080,70
142560,72
144000,72
144480,79
144960,75
145440,74
145680,74
146400,72
146880,71
147840,72
148080,74
148320,75
149520,72
149760,72
150240,79
150720,75
151200,77
152640,74
153120,70
153600,67
154080,72
155520,84
156240,84
156960,82
157680,77
158400,79
159600,75
159840,74
160320,75
160800,77
161280,79
162000,79
162720,77
163440,74
164160,75
167040,84
167760,84
168480,82
169200,77
169920,79
171120,79
171360,79
171840,80
172320,79
172800,79
173520,80
174240,79
174960,80
175680,79
178560,84
179280,84
180000,82
180720,77
181440,79
182640,75
182880,74
183360,75
183840,77
184320,79
185040,79
185760,77
186480,74
187200,75
190080,84
190800,87
191520,86
192240,79
192960,89
193920,87
194400,86
194880,87
195360,86
195840,84
198720,87
199440,87
200160,86
200880,79
201600,84
204480,82
207360,84
224640,72
225360,74
226080,75
226800,79
227520,77
228720,77
228960,77
229440,75
229920,74
230400,72
231120,74
231840,75
232560,79
233280,77
235920,72
236160,72
236880,74
237600,75
238320,79
239040,77
240480,77
240960,75
241440,74
241920,72
242640,74
243360,75
244080,79
244800,82
250560,84
251280,84
252000,82
252720,77
253440,79
254640,75
254880,74
255360,75
255840,77
256320,79
257040,79
257760,77
258480,74
259200,75
262080,84
262800,84
263520,82
264240,77
264960,79
266160,79
266400,79
266880,80
267360,79
267840,79
268560,80
269280,79
270000,80
270720,79
273600,84
274320,84
275040,82
275760,77
276480,79
277680,75
277920,74
278400,75
278880,77
279360,79
280080,79
280800,77
281520,74
282240,75
285120,84
285840,87
286560,86
287280,79
288000,89
288960,87
289440,86
289920,87
290400,86
290880,84
293760,87
294480,87
295200,86
295920,79
296400,84
296640,84
297360,84
298080,82
298800,77
299520,79
300720,75
300960,74
301440,75
301920,77
302400,79
303120,79
303840,77
304560,74
305280,75
308160,84
308880,84
309600,82
310320,77
311040,79
312240,79
312480,79
312960,80
313440,79
313920,79
314640,80
315360,79
316080,80
316800,79
319680,84
320400,84
321120,82
321840,77
322560,79
323760,75
324000,74
324480,75
324960,77
325440,79
326160,79
326880,77
327600,74
328320,75
331200,84
331920,87
332640,86
333360,79
334080,89
335040,87
335520,86
336000,87
336480,86
336960,84
339840,87
340560,87
341280,86
342000,79
342720,84
