time,semitone
26820,70
26880,72
27120,70
27360,72
27600,70
27840,72
27960,70
28200,72
28800,72
28800,70
29040,70
29280,72
29520,70
29760,72
29880,70
30180,68
30720,70
30780,72
30960,70
31200,72
31440,70
31560,72
31920,70
32160,68
32400,70
32640,67
34500,70
34560,72
34800,70
35040,72
35280,70
35520,72
35700,75
35940,72
36480,72
36480,70
36720,70
36960,72
37200,70
37440,72
37560,70
37860,68
38340,70
38400,72
38640,70
38880,72
39000,70
39240,72
39600,70
39840,68
40080,65
40320,70
42240,72
42240,70
42480,70
42720,72
42960,70
43200,72
43440,70
43680,68
43920,68
44160,68
44400,65
44640,68
44760,70
45060,72
46080,72
46080,70
46320,70
46560,72
46740,70
46920,72
47280,70
47520,68
47760,68
48000,75
48240,75
48480,75
48660,75
48840,72
49920,72
49920,70
50160,70
50400,72
50520,70
50760,72
51120,70
51420,68
51600,68
51840,68
52080,65
52320,68
52440,70
52680,72
53700,72
53760,73
54000,72
54240,70
54420,68
54600,72
54660,73
54960,72
55200,70
55440,68
55680,75
59520,72
59760,75
60000,80
60180,79
60360,75
60960,72
61200,68
61440,65
61980,68
62400,77
63360,77
63360,75
63600,75
63840,73
63960,72
64200,70
64800,70
64800,68
65040,68
65280,72
65520,70
65760,68
65880,70
66120,67
67200,70
67260,72
67500,75
67680,80
67860,79
68040,75
68640,72
68880,68
69120,65
69600,68
70080,77
70080,75
71040,77
71040,75
71280,75
71520,73
71640,72
71880,70
72480,70
72480,68
72720,68
72960,72
73200,70
73500,68
73560,70
73800,67
74880,72
75120,75
75360,80
75540,79
75720,75
76320,72
76560,70
76860,65
77280,68
77820,77
78660,75
78720,77
78960,75
79200,73
79320,72
79560,70
80160,70
80160,68
80400,68
80640,72
80880,70
81120,68
81240,70
81480,67
82560,72
82800,75
83040,80
83160,79
83400,75
83940,72
84060,70
84240,68
84480,65
84960,68
85440,77
86400,73
86400,72
86640,72
86880,70
87060,68
87240,73
87600,72
87840,70
88140,68
88320,63
105540,70
105600,72
105840,70
106080,72
106320,70
106560,72
106680,70
106920,72
107520,72
107520,70
107760,70
108000,72
108240,70
108480,72
108600,70
108900,68
109440,70
109500,72
109680,70
109920,72
110160,70
110280,72
110640,70
110880,68
111120,70
111360,67
113220,70
113280,72
113520,70
113760,72
114000,70
114240,72
114420,75
114660,72
115200,72
115200,70
115440,70
115680,72
115920,70
116160,72
116280,70
116580,68
117060,70
117120,72
117360,70
117600,72
117720,70
117960,72
118320,70
118560,68
118800,65
119040,70
120960,72
120960,70
121200,70
121440,72
121680,70
121920,72
122160,70
122400,68
122640,68
122880,68
123120,65
123360,68
123480,70
123780,72
124800,72
124800,70
125040,70
125280,72
125460,70
125640,72
126000,70
126240,68
126480,68
126720,75
126960,75
127200,75
127380,75
127560,72
128640,72
128640,70
128880,70
129120,72
129240,70
129480,72
129840,70
130140,68
130320,68
130560,68
130800,65
131040,68
131160,70
131400,72
132420,72
132480,73
132720,72
132960,70
133140,68
133320,72
133380,73
133680,72
133920,70
134160,68
134400,75
138240,72
138480,75
138720,80
138900,79
139080,75
139680,72
139920,68
140160,65
140700,68
141120,77
142080,77
142080,75
142320,75
142560,73
142680,72
142920,70
143520,70
143520,68
143760,68
144000,72
144240,70
144480,68
144600,70
144840,67
145920,70
145980,72
146220,75
146400,80
146580,79
146760,75
147360,72
147600,68
147840,65
148320,68
148800,77
148800,75
149760,77
149760,75
150000,75
150240,73
150360,72
150600,70
151200,70
151200,68
151440,68
151680,72
151920,70
152220,68
152280,70
152520,67
153600,72
153840,75
154080,80
154260,79
154440,75
155040,72
155280,70
155580,65
156000,68
156540,77
157380,75
157440,77
157680,75
157920,73
158040,72
158280,70
158880,70
158880,68
159120,68
159360,72
159600,70
159840,68
159960,70
160200,67
161280,72
161520,75
161760,80
161880,79
162120,75
162660,72
162780,70
162960,68
163200,65
163680,68
164160,77
165060,75
165120,77
166080,73
166980,77
167040,79
168000,75
