time,semitone
16560,58
16800,63
17040,63
18480,58
18720,65
18960,65
20400,63
20640,65
20880,67
21360,68
21600,67
21840,65
22080,63
22560,58
22800,65
23040,67
23160,65
24240,58
24480,63
24720,65
24960,63
26160,58
26400,65
26640,65
27120,67
28080,63
28320,65
28560,67
29040,68
29280,67
29520,65
29760,63
30240,58
30480,65
30720,67
30840,65
31920,67
32160,63
32400,65
32640,63
33840,60
34080,62
34140,63
34320,63
35760,67
36000,63
36240,63
36720,63
37200,65
37680,67
38160,65
38400,63
38640,60
39600,58
39960,63
40320,63
40620,65
40740,63
41040,61
41520,70
41760,68
42000,66
43440,61
43680,68
43920,68
44280,66
44400,68
44520,70
44640,68
45360,61
45600,70
45840,70
46320,71
46560,70
46800,68
47040,66
47280,63
47520,68
47760,68
49200,61
49440,66
49680,66
51120,70
51360,68
51480,66
51600,68
52080,70
53040,61
53280,70
53520,70
54000,71
54240,70
54480,68
54720,66
54960,63
55200,66
55440,70
55620,68
55680,70
56880,70
57120,66
57360,68
57480,63
57600,66
58800,70
59220,68
59340,66
60720,70
60960,68
61200,66
61680,66
62160,68
62640,70
63120,75
64560,73
64800,70
65040,68
66840,70
66960,68
67080,66
67200,70
67320,68
67440,70
68400,73
69120,70
69360,71
69600,73
70080,73
70560,70
70800,70
71280,71
71520,73
72000,73
72480,63
72720,66
74400,63
74640,68
75120,70
75360,66
75840,68
76080,70
76320,66
76800,70
77040,71
77280,73
77760,73
78240,71
78480,70
78960,71
79200,73
79680,73
80160,70
80400,75
80880,73
81360,71
81840,70
82320,68
82380,70
83760,70
84000,63
84240,63
84480,66
85680,70
85920,63
86160,63
86400,66
87600,70
87840,63
88080,66
88560,70
88800,63
89040,66
89520,68
89760,70
90000,71
90180,70
90240,71
90720,73
90960,70
91140,68
91200,70
91920,63
92160,71
92400,71
92640,70
92880,70
93120,66
93360,61
93420,63
93840,61
94560,70
94800,68
95280,66
110400,67
110640,68
110880,70
111120,70
111600,68
111720,67
111960,65
112560,67
112800,63
113040,65
113520,67
113760,65
113820,67
114480,63
114720,65
114960,67
115440,68
115680,67
115920,65
116160,63
116640,65
116880,65
118320,58
118560,63
118800,65
119040,63
120240,70
120480,67
120720,70
120960,67
122160,63
122400,65
122640,67
123120,68
123360,67
123600,65
123840,63
124320,70
124440,67
124560,70
125520,72
126000,70
126480,72
127920,72
128160,70
128400,65
128520,67
128640,65
129840,63
130080,65
130320,67
130800,70
131280,72
131760,70
132240,79
132360,77
132480,79
133680,72
133920,74
134160,75
135120,73
135240,75
135360,73
136320,70
136560,71
136800,73
137280,73
137760,70
138000,70
138480,71
138720,73
139200,73
139680,63
139920,66
141600,63
141840,68
142320,70
142560,66
143040,68
143280,70
143520,66
144000,70
144240,71
144480,73
144960,73
145440,71
145680,70
146160,71
146400,73
146880,73
147360,70
147600,75
148080,73
148560,71
149040,70
149520,68
149580,70
150960,70
151200,63
151440,63
151680,66
152880,70
153120,63
153360,63
153600,66
154800,70
155040,63
155280,66
155760,70
156000,63
156240,66
156720,68
156960,70
157200,71
157380,70
157440,71
157920,73
158160,70
158340,68
158400,70
159120,63
159360,71
159600,71
159840,70
160080,70
160320,66
160560,61
160620,63
161040,73
163200,70
163440,71
163680,73
164160,73
164640,70
164880,70
165360,71
165600,73
166080,73
166560,63
166800,66
168480,63
168720,68
169200,70
169440,66
169920,68
170160,70
170400,66
170880,70
171120,71
171360,73
171840,73
172320,71
172560,70
173040,71
173280,73
173760,73
174240,70
174480,75
174960,73
175440,71
175920,70
176400,68
176460,70
177840,70
178080,63
178320,63
178560,66
179760,70
180000,63
180240,63
180480,66
181680,70
181920,63
182160,66
182640,70
182880,63
183120,66
183600,68
183840,70
184080,71
184260,70
184320,71
184800,73
185040,70
185220,68
185280,70
186000,63
186240,71
186480,71
186720,70
186960,70
187200,66
187440,61
187500,63
187920,61
188640,70
188880,68
189360,66
