time,semitone
25440,60
25920,60
26400,60
26880,62
27840,55
28320,64
33120,60
33600,60
34080,60
34560,62
35040,62
36000,64
36960,60
39840,60
40320,64
40800,65
41280,67
41760,65
42720,64
43200,62
43680,64
44640,62
47520,60
48000,64
48480,65
48960,67
49440,65
50400,64
50880,62
51360,64
56160,60
56640,60
57120,60
57600,62
58560,55
59040,64
63840,60
64320,60
64800,60
65280,62
65760,62
66240,67
66720,67
70560,60
71040,64
71520,65
72000,67
72480,65
73440,64
73920,62
74400,64
75360,62
78240,60
78720,64
79200,65
79680,67
80160,65
81120,64
81600,62
82080,64
86400,57
87360,52
88320,55
89280,53
90240,47
90720,48
91200,50
91680,53
92160,53
93120,52
94080,45
94560,47
95040,48
95520,52
96000,52
96960,50
97440,52
101760,57
102720,52
103680,55
104640,53
105600,59
106080,60
106560,59
107040,57
107520,55
108480,52
108960,53
111360,53
111840,52
112320,50
112800,53
115200,53
115680,55
116160,50
116640,52
120720,50
120960,50
121200,48
121440,50
121920,52
125280,67
125760,67
126240,64
126720,62
127200,60
128160,62
128400,60
128640,64
129120,64
132960,60
133440,60
133920,60
134400,62
134880,62
135360,67
136320,64
139680,60
140160,64
140640,65
141120,67
141600,65
142560,64
143040,62
143520,64
144480,62
147360,60
147840,64
148320,65
148800,67
149280,69
150240,67
150960,65
151680,64
155520,57
156480,52
157440,55
158400,53
159360,47
159840,48
160320,50
160800,53
161280,53
162240,52
163200,45
163680,47
164160,48
164640,55
165120,55
166080,53
166560,52
170880,57
171840,52
172800,55
173760,53
174720,59
175200,60
175680,59
176160,57
176640,55
177600,52
178080,53
180480,53
180960,52
181440,50
181920,53
184320,53
184800,55
185280,50
185760,52
189840,56
190080,57
190440,56
190800,57
191040,59
193920,57
195360,55
195840,57
197280,55
197760,57
199200,55
199680,55
200160,52
201600,57
203040,55
203520,57
204960,55
205440,57
206880,55
207120,57
207840,55
208320,60
208800,55
209040,55
210000,55
210240,60
210720,55
210960,55
211920,55
212160,60
212400,60
212640,60
212880,55
213120,55
213840,55
214080,60
214320,60
214560,60
214800,55
215040,55
216000,55
216480,55
216720,57
217680,52
217920,56
218160,56
218400,56
218640,57
218880,59
220800,57
221760,52
222720,55
223680,53
224640,47
225120,48
225600,50
226080,53
226560,53
227520,52
228480,57
228960,55
229440,52
229920,57
230400,57
231360,55
231840,52
236160,57
237120,52
238080,55
239040,53
240000,59
240480,59
240960,60
241440,62
241920,62
242880,59
243360,60
245760,57
246240,55
246720,52
247200,57
249360,59
249600,60
250080,59
250560,62
251040,60
251520,69
252480,64
253440,67
254400,65
255360,59
255840,60
256320,62
256800,65
257280,65
258240,64
262560,69
263040,68
263520,64
264000,64
264480,69
264960,68
265440,69
265920,71
266880,57
267840,52
268800,55
269760,53
270720,59
271200,59
271680,60
272160,62
272640,62
273600,59
274080,60
277920,57
278400,60
278880,59
281760,55
282240,59
282960,57
283200,59
289680,52
289920,53
290280,52
290760,50
291120,52
