time,semitone
17340,68
17580,69
17760,68
18000,64
18240,65
18288,64
18348,66
18708,68
18948,69
19188,68
19740,64
20100,65
20160,66
20640,68
20880,69
21600,68
21984,72
22064,73
22604,71
22784,69
23024,68
23520,64
23940,65
24000,66
25200,69
25440,68
25680,64
25920,65
25980,66
26400,68
26640,69
27420,64
27840,66
28320,68
28560,69
28860,71
29280,68
29700,71
29760,73
30240,71
30480,69
30780,68
31200,66
31680,64
32700,59
33420,68
33660,66
34320,68
35100,66
35520,67
35580,68
36540,59
37140,67
37260,68
37500,66
38160,68
38640,66
38880,64
39120,63
39420,64
40140,63
40188,61
40308,59
41000,66
41060,68
41240,66
42020,68
42260,69
42740,66
43160,67
43220,68
44180,59
44840,67
44900,68
45140,66
45860,68
46100,69
46340,66
46580,64
46820,63
47060,64
49940,68
50180,69
50420,68
50660,64
50900,66
51380,68
51620,69
51860,68
52340,64
52760,66
53300,68
53540,69
53780,71
54260,68
54620,71
54680,73
55220,71
55460,69
55700,68
56180,64
56600,65
56640,66
57600,68
57840,69
58080,68
58320,64
58560,66
59040,68
59280,69
59520,68
60000,64
60360,65
60420,66
60960,68
61200,69
61440,71
61920,68
62340,72
62400,73
62880,71
63120,69
63360,68
63840,66
64320,64
65340,59
66000,68
66240,66
66960,68
67200,69
67680,66
68100,67
68160,68
69120,59
69900,68
70080,66
70800,68
71040,69
71280,66
71520,64
71760,63
72000,64
72960,59
73680,68
73920,66
74580,68
74880,69
75360,66
75840,68
76800,59
77520,68
77760,66
78480,68
78720,69
78960,66
79200,64
79440,63
79680,64
103680,59
104400,68
104640,66
105360,68
105600,69
106080,66
106464,67
106524,68
107484,59
108264,68
108504,66
109224,68
109464,69
109704,66
109944,64
110184,63
110424,64
111204,63
111264,61
111384,59
112044,66
112104,68
112284,66
113064,68
113304,69
113724,66
114144,67
114204,68
115164,59
115944,68
116184,66
116844,68
117144,69
117384,66
117624,64
117864,63
118104,64
119064,69
119244,66
119544,64
119724,63
120024,64
120804,68
120924,69
121170,66
121410,64
121650,63
121890,64
122904,68
123084,69
123384,68
123624,64
123864,66
124344,68
124584,69
124824,68
125244,64
125664,65
125724,66
126264,68
126504,69
126744,71
127224,68
127584,71
127664,73
128144,71
128384,69
128624,68
129105,64
129525,65
129585,66
130545,68
130800,69
131040,68
131280,66
131520,66
132060,68
132240,69
132945,64
133365,65
133425,66
133965,68
134145,69
134385,71
134865,68
135285,71
135345,73
135825,71
136065,69
136305,68
136800,66
137280,64
138120,63
138180,61
138885,66
138945,68
139185,66
139905,68
140145,69
140625,66
141045,67
141125,68
141845,63
141905,61
142025,59
142770,66
142830,68
143022,66
143802,68
144030,69
144270,66
144510,64
144750,63
144990,64
145950,59
146610,66
146670,68
146850,66
147630,68
147870,69
148350,66
148710,67
148770,68
149730,59
150510,68
150750,66
151410,68
151470,68
151710,69
151950,66
152190,64
152430,63
152670,64
153630,68
153870,69
154110,68
154350,64
154590,66
155070,68
155310,69
155550,68
156030,64
156510,66
156990,68
157230,69
157470,71
157950,68
158310,71
158370,73
158910,71
159150,69
159390,68
159870,64
160230,65
160290,66
161310,68
161550,69
161790,68
162030,64
162270,66
162690,68
162930,69
163170,68
163650,64
164130,66
164670,68
164850,69
165150,71
165630,68
166050,71
166110,73
166590,71
166830,69
167070,68
167550,66
168030,64
168990,59
169710,68
169950,66
170670,68
170910,69
171390,66
171870,68
172830,59
173550,68
173790,66
174510,68
174750,69
174990,66
175230,64
175470,63
175710,64
176550,63
176610,61
176670,59
177390,68
177630,66
178350,68
178590,69
179070,66
179490,67
179570,68
180470,59
181260,68
181500,66
182220,68
182460,69
182640,66
182940,64
183120,63
183420,64
184380,59
185100,68
185340,66
186060,68
186300,69
186720,66
187140,67
187200,68
187260,66
188220,59
188880,68
189120,66
189900,68
190140,69
190320,66
190560,64
190800,63
191040,64
191808,63
191868,61
191988,59
192624,66
192684,68
192924,66
193704,68
193944,69
194424,66
194844,67
194904,68
195864,59
196584,68
196824,66
197544,68
197784,69
198024,66
198264,64
198444,63
198684,64
203544,60
204264,69
204504,67
205164,69
205404,70
205644,67
205944,65
206124,64
206364,65
211224,60
211944,69
212184,67
212904,69
213084,70
213330,67
213630,65
213810,64
214050,65
218904,60
219624,69
219864,67
220524,69
220764,70
221004,67
221304,65
221544,64
221784,65
