time,semitone
20640,51
20880,53
21120,55
22080,56
22320,55
22560,56
22800,53
23040,51
24480,55
24720,56
24960,58
25920,56
26160,55
26400,56
26640,60
26880,58
28320,60
28560,58
28800,56
29280,60
29760,60
30240,58
30480,56
30720,55
31200,58
31680,58
32160,56
32400,55
32640,53
33120,56
33600,56
34080,55
34320,53
34620,55
35040,56
35580,58
36000,60
36240,58
36480,56
36960,60
37440,60
37920,58
38160,56
38400,55
38880,58
39360,58
39840,56
40080,55
40320,53
40800,56
41280,56
41760,55
42000,53
42240,51
45600,51
45780,53
46080,55
47040,56
47220,55
47460,56
47700,53
48000,51
49440,55
49680,56
49920,58
50880,56
51120,55
51300,56
51540,60
51840,58
53280,60
53460,58
53700,56
54180,60
54720,60
55200,58
55380,56
55680,55
56160,58
56640,58
57120,56
57300,55
57540,53
58080,56
58560,56
59040,55
59280,53
59520,55
60000,56
60480,58
60960,60
61200,58
61440,56
61920,60
62400,60
62880,58
63060,56
63360,55
63780,58
64260,58
64800,56
65040,55
65280,53
65760,56
66180,56
66720,55
66960,53
67200,51
84000,51
84240,53
84540,55
85440,56
85680,55
85920,56
86160,53
86400,51
87840,55
88080,56
88320,58
89280,56
89520,55
89700,56
89940,60
90240,58
91680,60
91860,58
92160,56
92640,60
93120,60
93600,58
93780,56
94020,55
94500,58
95040,58
95520,56
95700,55
96000,53
96480,56
96960,56
97440,55
97680,53
97920,55
98400,56
98880,58
99360,60
99540,58
99840,56
100320,60
100800,60
101280,58
101460,56
101700,55
102180,58
102720,58
103140,56
103440,55
103680,53
104160,56
104640,56
105120,55
105360,53
105600,51
108960,51
109200,53
109440,55
110400,56
110640,55
110820,56
111120,53
111360,51
112800,55
113040,56
113280,58
114240,56
114420,55
114660,56
114960,60
115200,58
116640,60
116820,58
117060,56
117540,60
118080,60
118560,58
118740,56
118980,55
119460,58
119940,58
120480,56
120720,55
120960,53
121440,56
121860,56
122400,55
122640,53
122880,55
123360,56
123840,58
124320,60
124500,58
124800,56
125280,60
125760,60
126240,58
126420,56
126720,55
127140,58
127620,58
128160,56
128340,55
128640,53
129120,56
129540,56
130080,55
130320,53
130560,51
132000,60
132180,58
132480,56
132900,60
133440,60
133920,58
134100,56
134340,55
134820,58
135360,58
135840,56
136020,55
136320,53
136800,56
137280,56
137760,55
137940,53
138240,51
141600,51
141840,53
142080,55
143040,56
143280,55
143520,56
143760,53
144000,51
149280,51
149520,53
149760,55
150660,56
150900,55
151092,56
151272,53
151512,51
