time,semitone
26400,75
26640,76
26880,75
27120,71
27360,66
27600,68
28560,71
28800,75
29040,76
29280,75
29520,76
29760,75
30240,68
30480,71
30960,73
34080,71
34320,69
34560,68
34920,69
35280,76
35760,78
36240,79
36720,78
37200,76
37680,72
38160,71
41760,75
42000,76
42240,75
42480,71
42720,66
42960,68
43920,71
44160,75
44400,76
44640,75
44880,76
45120,75
45600,71
45840,68
46320,73
49440,71
49680,69
49920,68
50280,69
50640,76
51120,78
51600,79
52080,78
52560,76
53040,78
53520,80
57120,80
57360,78
57600,73
57840,80
58080,78
58320,73
59040,80
59280,78
59520,73
59760,80
60000,78
60240,72
60960,72
61200,71
65040,73
65280,80
65760,81
66000,73
66480,76
66960,79
67440,78
67920,76
68400,78
68880,80
72480,80
72720,78
72960,73
73200,80
73440,78
73680,73
74400,80
74640,78
74880,72
75120,80
75360,78
75600,81
76080,80
76560,78
76800,71
77280,73
77760,75
78120,76
78480,80
80400,73
80640,80
81120,81
81360,73
81840,76
82320,79
82800,78
101280,75
101520,76
101760,75
102000,71
102240,66
102480,68
103440,71
103680,75
103920,76
104160,75
104400,76
104640,75
105120,71
105360,68
105840,73
108960,71
109200,69
109440,68
109800,69
110160,76
110640,78
111120,79
111600,78
112080,76
112560,78
113040,80
116640,80
116880,78
117120,73
117360,80
117600,78
117840,73
118560,80
118800,78
119040,73
119280,80
119520,78
119760,72
120480,72
120720,71
124560,73
124800,80
125280,81
125520,73
126000,76
126480,79
126960,78
127440,76
127920,78
128400,80
132000,80
132240,78
132480,73
132720,80
132960,78
133200,73
133920,80
134160,78
134400,72
134640,80
134880,78
135120,81
135600,80
136080,78
136320,71
136800,73
137280,75
137640,76
138000,80
139920,73
140160,80
140640,81
140880,73
141360,76
141840,79
142320,78
146160,75
146400,75
146640,75
146880,78
147360,80
147840,76
