time,semitone
10680,50
10800,55
11160,55
11280,53
11520,53
11760,52
12000,52
12240,50
12480,50
12600,48
12840,48
13080,50
13200,52
13320,50
14520,48
14640,50
14880,52
15000,50
18000,64
18120,64
18240,65
18480,64
18600,62
18840,60
19080,64
19920,64
20040,64
20160,65
20400,64
20520,62
20880,60
21120,64
21480,60
21840,57
21960,55
22080,57
22800,55
23040,64
23400,60
23760,57
24240,59
24720,59
24840,57
24960,55
25680,64
25800,64
25920,65
26160,64
26280,62
26520,60
26640,64
27600,64
27720,64
27840,65
28080,64
28200,62
28560,60
28800,64
29160,60
29520,55
29640,57
29760,55
30480,55
30720,64
31080,60
31680,64
31920,65
32400,67
34320,67
34560,67
35040,64
35280,65
35760,67
36240,67
36720,65
36960,64
37200,65
39360,64
39840,65
40320,67
41880,67
42240,67
42720,64
42960,65
43440,67
43920,60
44160,65
44640,64
44880,65
45360,64
45600,65
46320,65
46560,65
46800,64
47040,67
48000,67
48480,72
48720,71
49200,67
49680,69
50160,64
50640,67
51000,65
51120,64
51600,64
51720,65
51840,64
52200,60
52440,57
52560,60
53520,64
53640,65
53760,64
54120,60
54480,62
54960,64
55680,67
56160,72
56400,71
56880,67
57360,69
57840,64
58320,67
58680,65
58800,64
59280,64
59400,65
59520,64
59880,60
60120,57
60240,60
61200,64
61320,65
61440,64
61800,60
62160,62
62640,60
62880,62
64080,60
64200,57
64320,60
65520,67
65640,69
65760,67
66000,65
66240,64
66960,62
67080,60
67200,62
67440,64
71760,64
71880,64
72000,65
72120,64
72360,62
72600,60
72960,64
73680,64
73800,64
73920,65
74040,64
74280,62
74520,60
74880,64
75360,62
76560,60
76800,64
77160,60
77520,57
78000,55
79440,64
79560,64
79560,64
79680,65
79800,64
80040,69
80280,71
80520,67
81360,64
81480,64
81600,65
81720,64
81960,65
82200,67
82560,64
82920,60
83160,57
83280,60
84240,64
84480,65
84840,64
85200,65
85680,64
86160,67
88080,67
88320,67
88800,64
89040,65
89520,67
90000,67
90480,65
90720,64
90960,65
92040,64
92160,62
93120,64
93600,69
94320,67
95760,67
96000,67
96480,64
96720,65
97200,67
97680,60
97920,65
98400,64
98640,65
99120,64
99360,65
100080,69
100320,69
100560,64
100800,69
101040,67
101760,67
102240,72
102480,71
102960,67
103440,69
103920,64
104400,67
104760,65
104880,64
105360,64
105480,65
105600,64
105960,60
106200,57
106320,60
107280,64
107400,65
107520,64
107880,60
108240,62
108720,64
109440,67
109920,72
110160,71
110640,67
111120,69
111600,64
112080,67
112440,65
112560,64
113040,64
113160,65
113280,64
113520,67
113640,64
113880,60
114000,57
114120,60
114960,64
115200,65
115680,64
115920,67
116400,67
116880,69
118320,69
118440,71
118560,69
119280,66
119520,64
120600,64
120720,62
120840,59
120960,62
121080,64
121200,62
122040,59
122160,57
124920,73
124920,69
125040,73
125040,69
125160,69
125160,66
125280,73
125280,69
125640,73
125640,69
125760,73
125760,69
125880,69
125880,66
126000,73
126000,69
126120,74
126120,71
126240,73
126240,69
126840,69
127080,69
127320,67
127560,67
127800,66
127920,64
128040,62
128160,64
128400,66
128640,64
129360,62
132480,69
132960,74
133200,73
133560,71
133680,69
134160,71
134640,66
135120,69
135480,67
135600,66
136080,66
136200,67
136320,66
136680,62
136920,59
137040,62
138000,66
138120,67
138240,66
138600,62
138960,64
139440,66
140160,69
140640,74
140880,73
141240,71
141360,69
141840,71
142320,66
142800,69
143160,67
143280,66
143760,66
143880,67
144000,66
144240,69
144360,66
144600,62
144720,59
144840,62
145680,66
145800,67
145920,66
146280,66
146640,69
147120,69
147600,71
148560,69
148680,66
148800,69
149880,69
150120,69
150360,67
150600,67
150840,66
150960,64
151080,62
151200,64
151440,66
151680,64
152400,62
155640,73
155640,69
155760,73
155760,69
155880,69
155880,66
156000,73
156000,69
156360,73
156360,69
156480,73
156480,69
156600,69
156600,66
156720,73
156720,69
156840,74
156840,71
156960,73
156960,69
157560,69
157680,69
157800,69
157920,69
158040,67
158280,66
158520,64
158760,62
158880,64
159120,66
159360,64
160080,62
161880,69
162000,69
162120,69
162240,69
162360,67
162600,66
162840,64
163080,62
163200,64
163440,66
163680,64
164400,62
