time,semitone
11520,63
11760,62
11880,60
12120,62
12360,63
13440,62
13680,60
13920,58
14160,60
14280,61
14400,62
15360,60
15600,58
15960,60
16080,60
16440,62
16680,63
16920,62
17280,60
17520,58
19080,58
19200,58
19440,56
19560,56
19800,55
20040,56
20880,60
21120,60
21360,55
21600,55
21840,60
22080,60
22800,62
22920,63
23040,63
23280,62
23400,63
23640,62
23880,63
24000,65
24240,65
24720,65
24960,62
26400,67
26880,63
27120,62
27240,60
27480,62
27720,63
28680,58
28800,63
29040,62
29160,58
29400,60
29760,58
30720,60
30960,58
31080,58
31320,60
31560,62
31800,63
32280,62
32640,60
32880,58
34320,58
34560,58
34800,56
35040,56
35280,55
35520,56
36360,60
36480,62
36720,62
36960,60
37200,62
37440,63
37680,62
37920,60
38280,62
38400,63
38640,62
38760,60
39000,62
39360,63
40200,53
40320,60
40560,62
40680,60
40800,58
41040,60
41280,62
41520,60
41760,58
42000,62
42240,62
42600,60
46080,67
46320,65
46560,63
46800,65
47040,67
47280,65
47520,63
47760,65
48000,67
48720,58
48840,58
49080,70
49320,68
49560,67
49920,68
53280,65
53400,67
53520,67
53760,68
54000,67
54360,65
54600,68
55320,63
55440,63
55560,65
55680,67
55800,68
56040,67
56160,65
56400,67
56640,68
57000,62
57240,63
57360,65
57600,67
58800,65
59040,63
59280,65
59520,67
60240,65
60960,67
61200,65
61440,64
61680,64
61800,64
62040,65
62280,67
63120,60
63360,72
63600,70
63720,70
63840,68
64080,67
64320,65
64560,65
64800,67
65280,70
65520,68
65760,68
68160,68
68400,67
68880,65
69120,67
70560,65
70800,63
71040,63
71280,62
71520,62
72240,62
72480,63
72600,63
72720,65
72960,67
73440,65
73680,63
73920,62
74160,63
74640,62
74880,60
75840,63
76080,63
76320,65
76800,67
77040,65
77280,63
77520,62
77760,63
78240,62
78480,62
78720,60
82080,67
82560,63
82800,62
82920,60
83160,62
83400,63
84480,62
84720,60
84840,58
85080,60
85320,62
86400,60
86640,58
86760,60
87000,62
87360,63
87720,62
88080,60
88320,58
88560,55
90000,56
90240,58
90480,56
90720,56
90960,55
91200,56
92160,55
92400,55
92640,58
92880,60
93120,60
93840,60
94080,62
94200,63
94440,62
94560,60
94800,62
95040,63
95280,62
95520,60
95760,55
96000,63
96240,62
96480,60
96720,62
96960,63
97200,62
97440,58
97680,62
97920,62
98160,60
113280,67
113520,65
113640,63
113880,65
114240,67
114480,65
114720,63
114960,65
115200,67
115800,60
115920,60
116040,60
116160,72
116400,70
116640,70
116760,68
116880,67
117120,68
117720,67
117960,65
120360,65
120480,67
120720,68
120960,68
121200,67
121320,65
121560,67
121800,68
122520,63
122640,67
122880,70
123120,68
123360,67
123600,65
123840,68
124080,63
124320,65
124560,65
124800,67
126000,65
126360,63
126600,65
126720,67
128400,67
128520,65
128640,64
128880,64
129000,64
129240,65
129480,67
130320,60
130560,72
130800,70
130920,68
131160,67
131400,65
131760,64
132000,64
132240,65
132480,70
133200,68
133440,68
135360,68
135600,67
135960,65
136320,67
137520,67
137880,65
138120,63
138360,63
138600,62
138720,62
139680,63
139800,63
139920,65
140160,67
140640,65
140880,63
141120,62
141360,63
141840,62
142080,60
145440,63
145680,63
145920,65
146160,67
146400,65
146640,65
147840,62
148080,62
148560,62
148800,62
149040,63
149280,62
149520,62
149760,60
