time,semitone
6720,61
7080,59
7440,57
7740,59
8040,61
10080,59
10320,59
10800,59
11520,62
12000,62
12240,62
12720,62
12960,64
13440,61
14400,61
14760,59
15120,57
15360,59
15720,61
17760,59
18000,59
18480,59
19200,62
19680,62
19920,62
20400,64
21120,61
22560,61
22800,59
23100,61
24480,61
24960,59
29760,61
30120,59
30480,57
30780,59
31080,61
33120,59
33360,59
33840,59
34560,62
35040,62
35280,62
35760,62
36000,64
36480,61
37440,61
37800,59
38160,57
38400,59
38760,61
40800,59
41040,59
41520,59
42240,62
42720,62
42960,62
43440,64
44160,61
45600,61
45840,59
46140,61
47520,61
48000,59
53340,61
53580,59
53820,61
55260,61
55260,59
55440,59
55680,61
55920,59
59100,59
59580,61
60960,61
61200,59
61500,61
61740,59
62880,59
63360,61
64800,61
65100,59
65340,61
65580,59
66780,59
67260,61
68640,61
68880,59
69120,61
69420,59
70560,59
71040,61
72480,61
72960,64
74880,61
76320,61
76560,59
76800,61
78240,61
79260,62
80640,62
81060,62
81420,62
81660,62
82140,64
82620,61
84000,61
84240,59
84480,61
85920,61
86880,62
88380,62
88740,62
89100,62
89400,62
89820,64
90240,61
91680,61
91920,59
92160,59
92400,61
93600,61
94560,62
96000,62
96420,62
96720,62
96960,62
97440,64
97980,61
99360,61
99600,59
99900,61
101280,61
102240,62
103680,62
104100,62
104460,62
104700,62
105120,64
105660,64
135900,59
136380,61
137760,61
138000,59
138300,61
138540,59
139680,59
140160,61
141600,61
141900,59
142140,61
142380,59
143580,59
144060,61
145440,61
145680,59
145920,61
146220,59
147360,59
147840,61
149280,61
149760,64
151680,61
153120,61
153360,59
153600,61
155040,61
156060,62
157440,62
157860,62
158220,62
158460,62
158940,64
159420,61
160800,61
161040,59
161280,61
162720,61
163680,62
165180,62
165540,62
165900,62
166200,62
166620,64
167040,61
168480,61
168720,59
168960,59
169200,61
170400,61
171360,62
172800,62
173220,62
173520,62
173760,62
174240,64
174780,61
176160,61
176400,59
176700,61
178080,61
179040,62
180480,62
180900,62
181260,62
181500,62
181920,64
182460,64
