time,semitone
17520,69
17760,73
18000,73
18240,73
18960,64
19200,69
19440,69
19920,73
21600,73
21840,71
22080,73
22560,64
23040,69
23280,69
23760,69
24240,76
24720,76
24960,71
27360,73
27600,74
28320,76
28800,74
29520,73
32880,69
33120,73
33360,73
33600,73
34320,64
34560,69
34800,69
35040,69
35280,69
36960,73
37200,71
37440,73
37920,64
38400,69
38640,69
39120,69
39600,76
40080,76
40320,71
42720,73
42960,74
43680,76
44160,74
44880,73
48480,76
48720,78
49440,76
49680,78
50400,76
50640,78
51120,73
51600,76
52560,74
52800,73
56160,78
56400,78
56640,78
56880,78
58080,78
58320,76
58560,78
58800,76
59280,80
60720,76
60960,78
61200,80
62640,76
62880,78
63120,80
75120,69
75360,73
75600,73
75840,73
76560,64
76800,69
77040,69
77520,73
79200,73
79440,71
79680,73
80160,64
80640,69
80880,69
81360,69
81840,76
82320,76
82560,71
84960,73
85200,74
85920,76
86400,74
87120,73
90480,69
90720,73
90960,73
91200,73
91920,64
92160,69
92400,69
92640,69
92880,69
94560,73
94800,71
95040,73
95520,64
96000,69
96240,69
96720,69
97200,76
97680,76
97920,71
100320,73
100560,74
101280,76
101760,74
102480,73
104640,81
106080,76
106320,78
107040,76
107280,78
108000,76
108240,78
108720,73
109200,76
110160,74
110400,73
113760,78
114000,78
114240,78
114480,78
115680,78
115920,76
116160,78
116400,76
116880,80
118320,76
118560,78
118800,80
120000,76
120240,78
120480,80
192480,73
192720,73
193440,64
193920,69
194640,73
196320,73
196560,73
197280,64
197760,69
198480,64
200160,73
200400,73
201120,64
201600,69
202320,73
204000,73
204240,73
204960,64
205440,69
206160,69
207840,76
208080,78
208800,76
209040,78
209760,76
210000,78
210480,73
210960,76
211920,74
212160,73
213120,76
213840,74
214080,73
215520,78
215760,78
216000,78
216240,78
217440,78
217680,76
217920,78
218160,76
218640,80
220080,76
220320,78
220560,80
223200,76
223440,78
224160,76
224400,78
225120,76
225360,78
225840,73
226320,76
227280,74
227520,73
228480,76
229200,74
229440,73
230880,78
231120,78
231360,78
231600,78
232800,78
233040,76
233280,78
233520,78
234000,80
235440,76
235680,78
235920,80
237360,76
237600,78
237840,80
239280,76
239520,78
239760,80
