time,semitone
51120,59
51360,59
51600,59
51600,57
51780,58
51900,59
52380,59
52380,58
52560,59
52620,58
53040,58
53280,59
53280,58
53760,58
54000,59
54000,58
54480,58
54720,59
54960,58
55200,59
55440,58
55680,59
55800,57
55860,56
55920,54
55920,52
55980,51
56040,49
56040,47
56100,45
58800,52
59040,52
59280,52
59520,55
59520,52
60000,52
60240,55
60780,52
60960,55
60960,52
61440,52
61680,55
62160,52
62400,55
62640,52
62880,52
63120,52
63360,52
63600,51
63660,49
63720,47
63780,45
63840,44
63900,42
66480,59
66720,59
66960,59
67200,58
67260,59
67260,57
67740,59
67920,59
67920,58
68400,58
68580,59
69120,58
69360,59
70020,59
70320,59
70320,57
70560,59
70800,59
71040,59
71280,57
71280,56
71340,54
71400,52
71460,51
71520,49
71580,45
71580,47
74160,52
74400,52
74640,52
74880,55
75360,52
75600,55
75600,52
76080,52
76320,55
76800,52
77040,55
77760,52
78000,52
78240,52
78240,51
78480,52
78780,52
79080,51
79140,49
79140,47
79200,45
79320,44
79380,42
81780,50
81780,52
82080,52
82320,52
82560,54
83820,54
84000,54
84240,54
84480,50
84540,52
85680,52
85920,52
86160,52
86400,50
86460,52
86880,50
87120,52
87600,50
87840,50
87900,52
88260,50
88560,50
88560,52
89040,50
89280,50
89280,52
89520,50
89760,50
89760,52
90000,52
90060,50
112560,59
112800,59
113040,59
113280,58
113340,59
113760,59
114000,58
114060,59
114420,58
114660,59
115200,59
115200,58
115440,59
115920,59
115920,58
116160,59
116400,59
116400,58
116640,59
116640,58
116880,59
116880,58
117060,59
117240,57
117300,56
117300,54
117360,52
117360,51
117420,49
117480,45
117480,47
117540,44
117588,42
117648,40
120228,52
120468,52
120708,52
120948,55
121440,52
121680,55
122220,52
122400,55
123120,55
123600,52
123840,50
124080,52
124320,50
124560,52
125160,51
125160,49
125220,47
125280,45
125340,44
125400,40
127908,59
128148,59
128388,59
128568,58
128628,59
129168,59
129348,58
129468,59
129828,58
130068,59
130548,58
130788,59
131268,59
131268,58
131508,59
131508,58
131748,59
131748,58
131988,59
131988,58
132228,57
132288,56
132288,54
132348,52
132348,51
132408,49
132468,45
132468,47
132528,44
135588,52
135828,52
136068,52
136308,55
136548,52
136788,52
137028,55
137028,52
137508,52
137748,55
138228,52
138480,52
138720,55
138960,52
139200,50
139440,52
139680,50
139680,52
139920,47
140388,51
140388,49
140448,47
140508,45
140508,44
140568,42
140628,40
143328,52
143568,52
143748,52
143988,53
144048,54
144468,53
144708,54
145128,53
145428,54
145668,54
145908,52
146400,52
146640,50
146700,52
147120,52
147300,52
147540,50
148380,52
148380,47
148620,50
148800,52
149040,50
149340,47
149520,50
149808,52
150048,51
150048,49
150108,47
150168,45
150228,44
150288,42
150336,40
151176,52
151416,52
151596,53
151710,56
151710,54
152190,53
152430,54
152430,53
152910,53
152930,54
153170,53
153350,54
153590,52
154140,50
154140,51
154320,52
154800,50
155040,52
155280,50
155280,52
156060,47
156240,52
156780,47
156960,50
157200,52
157740,47
157980,52
158400,51
158400,49
158440,47
158500,45
158560,42
158620,40
237390,59
237630,59
237810,59
238050,58
238110,59
238590,59
238830,59
238830,58
239310,59
239310,58
239550,59
240030,58
240210,59
240750,58
240930,59
240930,58
241170,59
241230,58
241410,59
241410,58
241650,59
241650,58
241890,59
241890,58
242070,57
242070,56
242130,54
242130,52
242190,51
242250,49
242310,47
242370,45
242430,44
245070,52
245310,52
245550,52
245790,55
246270,52
246510,55
246990,52
247230,55
247710,52
247950,55
248430,52
248610,55
248850,52
249090,50
249330,47
249570,47
249630,52
249930,51
249930,49
249990,47
250050,45
250110,44
250170,42
250230,40
252750,59
252990,59
253170,59
253410,60
253410,58
253470,59
253770,59
253950,59
254190,58
254250,59
254670,59
254910,58
254970,59
255390,58
255570,59
256110,58
256350,59
256590,59
256590,58
256830,59
257070,59
257070,58
257310,59
257490,57
257538,56
257538,54
257598,52
257658,51
257718,49
257778,47
257838,45
260400,52
260640,52
260880,52
261120,55
261360,52
261600,52
261840,55
262080,52
262320,52
262560,55
262800,52
263100,52
263280,55
263280,52
263580,52
263760,52
264000,55
264000,52
264240,52
264480,55
264480,52
264480,51
264720,55
264720,52
264960,55
264960,52
265200,54
265200,52
265260,51
265320,49
265320,47
