time,semitone
41760,78
42240,76
42960,74
45600,78
46080,76
46800,74
49440,78
49920,76
50640,74
53280,78
53760,79
54240,79
54480,79
54960,79
55200,81
55680,81
56160,81
56400,81
56880,78
57120,76
57600,74
60960,78
61440,76
62160,74
64800,78
65280,76
66000,74
68640,78
69120,76
69840,74
72480,78
72960,79
73440,79
73680,79
74160,79
74400,81
74880,81
76320,78
76800,79
77280,79
77520,79
78000,79
78240,81
78720,81
79200,81
79440,81
79920,78
80160,76
80640,74
85440,74
85920,74
86160,74
87360,74
87840,74
88320,76
88800,78
89040,78
92880,73
93120,74
93600,74
93840,74
95040,74
95520,74
96000,76
96480,78
96720,76
99360,78
99840,76
100560,74
103200,78
103680,76
104400,74
107040,78
107520,76
108240,74
110880,78
111360,79
111840,79
112080,79
112560,79
112800,81
113280,81
114720,78
115200,79
115680,79
115920,79
116400,79
116640,81
117120,81
118560,78
119040,79
119520,79
119760,79
120240,79
120480,81
120960,81
121440,81
121680,81
122160,78
122400,76
122880,74
150720,74
151200,74
151440,74
152640,74
153120,74
153600,76
154080,78
154320,78
158160,73
158400,74
158880,74
159120,74
160320,74
160800,74
161280,76
161760,78
162000,76
166080,74
166560,74
166800,74
168000,74
168480,74
168960,76
169440,78
169680,78
173520,73
173760,74
174240,74
174480,74
175680,74
176160,74
176640,76
177120,78
177360,76
180480,81
183840,78
184320,76
185040,74
187680,78
188160,76
188880,74
191520,78
192000,76
192720,74
195360,78
195840,79
196320,79
196560,79
197040,79
197280,81
197760,81
199200,78
199680,79
200160,79
200400,79
200880,79
201120,81
201600,81
203040,78
203520,79
204000,79
204240,79
204720,79
204960,81
205440,81
206880,78
207360,79
207840,79
208080,79
208560,79
208800,81
209280,81
209760,81
210000,81
210480,78
210720,76
211200,74
229920,78
230400,76
231120,74
233760,78
234240,76
234960,74
237600,78
238080,76
238800,74
241440,78
241920,76
242640,74
245280,78
245760,76
246480,74
249120,78
249600,76
250320,74
252960,78
253440,76
254160,74
256800,78
257280,76
258000,74
260640,78
261120,76
261840,74
264480,78
264960,76
265680,74
268320,78
268800,76
269520,74
272160,78
272640,76
273360,74
276000,78
276480,76
277200,74
279840,78
280320,76
281040,74
283680,78
284160,76
284880,74
287520,78
288000,76
288720,74
291360,78
291840,76
292560,74
295200,78
295680,76
296400,74
299040,78
299520,76
300240,74
302880,78
303360,76
304080,74
306720,78
307200,79
307680,79
307920,79
308400,79
308640,81
309120,81
310560,78
311040,79
311520,79
311760,79
312240,79
312480,81
312960,81
314400,78
314880,79
315360,79
315600,79
316080,79
316320,81
316800,81
318240,78
318720,79
319200,79
319440,79
319920,79
320160,81
320640,81
321120,81
321360,81
321840,78
322080,76
322560,74
