time,semitone
11520,59
12000,59
12480,60
12960,62
14880,59
15360,57
16320,59
16800,60
19200,55
19680,55
20160,57
20640,59
22560,55
23040,54
24000,55
24480,57
27840,55
28320,52
28800,55
30240,57
30720,55
31680,59
32160,59
35520,55
36000,52
36480,55
37920,54
38160,55
42240,59
42720,59
43200,60
43680,62
45600,59
46080,57
46560,57
47040,59
47520,60
49920,55
50400,55
50880,57
51360,59
53280,55
53760,54
54720,55
55200,57
58560,55
59040,52
59520,55
60960,57
61440,55
62400,59
62880,59
66240,55
66720,52
67200,55
68640,54
68880,55
72960,59
73920,62
74400,59
74880,62
76320,64
76800,62
78240,57
78480,55
78720,57
80640,55
81600,59
82080,55
82560,59
84000,60
84480,59
85440,66
85920,66
88320,64
89280,67
89760,64
90240,67
91680,64
92160,62
93120,67
93600,67
96960,64
97440,67
98400,66
99360,66
99840,67
107520,59
108000,59
108480,60
108960,62
110880,59
111360,57
111840,57
112320,59
112800,60
115200,55
115680,55
116160,57
116640,59
118560,55
119040,54
120000,55
120480,57
123840,55
124320,52
124800,55
126240,57
126720,55
127680,59
128160,59
131520,55
132000,52
132480,55
133920,54
134160,55
138240,59
139200,62
139680,59
140160,62
141600,64
142080,62
143520,57
143760,55
144000,57
145920,55
146880,59
147360,55
147840,59
149280,60
149760,59
150720,66
151200,66
153600,64
154560,67
155040,64
155520,67
156960,64
157440,62
158400,67
158880,67
162240,64
162720,67
163680,66
164640,66
165120,67
199680,59
200640,62
201120,59
201600,62
203040,64
203520,62
204960,57
205200,55
205440,57
207360,55
208320,59
208800,55
209280,59
210720,60
211200,59
212160,66
212640,66
215040,64
216000,67
216480,64
216960,67
218400,64
218880,62
219840,67
220320,67
223680,64
224160,67
225120,66
226080,66
226560,67
230400,59
231360,62
231840,59
232320,62
233760,64
234240,62
235680,57
235920,55
236160,57
238080,55
239040,59
239520,55
240000,59
241440,60
241920,59
242880,66
243360,66
245760,64
246720,67
247200,64
247680,67
249120,64
249600,62
250560,67
251040,67
254400,64
254880,67
255840,66
256800,66
257280,67
