time,semitone
5280,56
5760,53
6480,51
6720,53
7920,49
8160,53
8400,53
8640,53
8880,53
9120,53
9360,53
9600,56
10320,51
10560,51
11760,48
12000,53
12240,53
12480,53
12720,53
12960,53
13200,53
13440,54
14160,53
14400,54
15600,46
15840,51
16080,51
16320,51
16560,51
16800,51
17040,51
17280,54
18000,56
18240,54
36000,56
36480,53
37200,51
37440,53
38640,49
38880,53
39120,53
39360,53
39600,53
39840,53
40080,53
40320,56
41040,51
41280,51
42480,48
42720,53
42960,53
43200,53
43440,53
43680,53
43920,53
44160,54
44880,53
45120,54
46320,46
46560,51
46800,51
47040,51
47280,51
47520,51
47760,51
48000,54
48720,56
48960,54
51120,49
51360,56
51840,53
52560,51
52800,53
54000,49
54240,53
54480,53
54720,53
54960,53
55200,53
55440,53
55680,56
56400,51
56640,51
57840,48
58080,53
58320,53
58560,53
58800,53
59040,53
59280,53
59520,54
60240,53
60480,54
61680,46
61920,51
62160,51
62400,51
62640,51
62880,51
63120,51
63360,54
64080,56
64320,57
67200,56
67440,58
67680,58
67920,56
68160,58
68640,61
68880,58
69840,54
70080,61
70320,59
70560,58
70800,56
71040,58
71280,59
71520,59
71760,58
72000,59
72480,61
72720,59
73680,51
73920,61
74160,59
74400,58
74640,56
74880,56
75120,58
75360,58
75600,56
75840,58
76320,61
76560,58
77520,51
77760,61
78000,59
78240,58
78480,56
78720,58
78960,59
79200,59
79440,58
79680,59
80160,61
80400,62
81360,61
82080,59
85200,56
85680,58
86160,54
87120,56
87600,58
88080,54
89040,56
89520,58
90000,61
90480,59
90960,58
91440,56
91920,58
92880,56
93360,58
93840,54
94800,56
95280,58
95760,61
96240,59
96720,58
97200,56
97680,56
97920,61
98160,59
98640,58
99360,56
99840,58
100080,60
100320,60
100560,58
100800,60
101280,63
101520,60
102480,56
102720,63
102960,61
103200,60
103440,58
103680,60
103920,61
104160,61
104400,60
104640,61
105120,63
105360,61
106320,53
106560,63
106800,61
107040,60
107280,58
107520,58
107760,60
108000,60
108240,58
108480,60
108960,63
109200,60
110160,53
110400,63
110640,61
110880,60
111120,58
111360,60
111600,61
111840,61
112080,60
112320,61
112800,63
113040,64
114000,63
114720,61
132480,58
132720,60
132960,60
133200,58
133440,60
133920,63
134160,60
135120,56
135360,63
135600,61
135840,60
136080,58
136320,60
136560,61
136800,61
137040,60
137280,61
137760,63
138000,61
138960,53
139200,63
139440,61
139680,60
139920,58
140160,58
140400,60
140640,60
140880,58
141120,60
141600,63
141840,60
142800,53
143040,63
143280,61
143520,60
143760,58
144000,60
144240,61
144480,61
144720,60
144960,61
145440,63
145680,61
146640,63
147060,61
147840,58
148080,60
148320,60
148560,58
148800,60
149280,63
149520,60
150480,56
150720,63
150960,61
151200,60
151440,58
151680,60
151920,61
152160,61
152400,60
152640,61
153120,63
153360,61
154320,53
154560,63
154800,61
155040,60
155280,58
155520,58
155760,60
156000,60
156240,58
156480,60
156960,63
157200,60
158160,53
158400,63
158640,61
158880,60
159120,58
159360,60
159600,61
159840,61
160080,60
160320,61
160800,63
161040,64
162000,63
162420,61
163200,58
163440,60
163680,60
163920,58
164160,60
164640,63
164880,60
165840,56
166080,63
166320,61
166560,60
166800,58
167040,60
167280,61
167520,61
167760,60
168000,61
168480,63
168720,61
169680,56
169920,63
170160,61
170400,60
170640,58
170880,58
171120,60
171360,60
171600,58
171840,60
172320,63
172560,60
173520,53
173760,63
174000,61
174240,60
174480,58
174720,60
174960,61
175200,61
175440,60
175680,61
176160,63
176400,64
177360,63
177780,61
178560,58
178560,55
178800,60
178800,56
179040,60
179040,56
179280,58
179280,55
179520,60
179520,56
180000,63
180000,60
180480,60
180480,55
182400,61
182400,53
184320,64
184320,56
186240,60
186240,56
187680,60
187680,56
188160,58
188160,55
189600,58
189600,55
190080,61
190080,53
191520,61
191520,53
192000,64
192000,56
