time,semitone
12000,59
12180,59
12360,59
12660,55
12900,57
13140,59
13440,60
13740,62
14100,60
14340,59
14460,60
15840,59
15960,59
16200,59
16440,55
16680,57
16920,59
17220,60
17460,62
17700,64
17940,60
18180,57
18300,55
19680,59
19860,59
20040,59
20340,55
20520,57
20820,59
21120,60
21420,62
21660,60
21900,59
22080,60
22800,55
23100,64
23280,62
23460,60
23760,56
24000,56
24480,64
24660,62
24840,60
24960,60
27360,59
27540,59
27720,59
28020,55
28260,57
28500,59
28800,60
29100,62
29460,60
29700,59
29820,60
31200,59
31320,59
31560,59
31800,55
32040,57
32280,59
32580,60
32820,62
33060,64
33300,60
33540,57
33660,55
35040,59
35220,59
35400,59
35700,55
35880,57
36180,59
36480,60
36780,62
37020,60
37260,59
37440,60
38160,55
38460,64
38640,62
38820,60
39120,56
39360,56
39840,64
40020,62
40200,60
40320,60
42600,55
42720,67
42900,64
43020,62
43140,60
43260,62
43500,64
43740,55
44520,55
44640,67
44760,64
44880,62
45000,60
45120,62
45360,64
45600,57
46200,67
46440,64
46560,67
46680,64
46800,62
46920,60
47040,62
47280,64
47520,55
48120,60
48360,60
48480,60
48720,60
49140,64
49380,62
49500,62
50280,55
50400,67
50580,64
50700,62
50820,60
50940,62
51180,64
51420,55
52200,55
52320,67
52440,64
52560,62
52680,60
52800,62
53040,64
53280,57
53880,67
54120,64
54240,67
54360,64
54480,62
54600,60
54720,62
54960,64
55200,55
55800,60
56040,60
56160,60
56400,60
56820,64
57060,62
57180,62
58200,60
58560,55
82080,59
82260,59
82440,59
82740,55
82980,57
83220,59
83520,60
83820,62
84180,60
84420,59
84540,60
85920,59
86040,59
86280,59
86520,55
86760,57
87000,59
87300,60
87540,62
87780,64
88020,60
88260,57
88380,55
89760,59
89940,59
90120,59
90420,55
90600,57
90900,59
91200,60
91500,62
91740,60
91980,59
92160,60
92880,55
93180,64
93360,62
93540,60
93840,56
94080,56
94560,64
94740,62
94920,60
95040,60
96360,55
96480,67
96660,64
96780,62
96900,60
97020,62
97260,64
97500,55
98280,55
98400,67
98520,64
98640,62
98760,60
98880,62
99120,64
99360,57
99960,67
100200,64
100320,67
100440,64
100560,62
100680,60
100800,62
101040,64
101280,55
101880,60
102120,60
102240,60
102480,60
102900,64
103140,62
103260,62
104040,55
104160,67
104340,64
104460,62
104580,60
104700,62
104940,64
105180,55
105960,55
106080,67
106200,64
106320,62
106440,60
106560,62
106800,64
107040,57
107640,67
107880,64
108000,67
108120,64
108240,62
108360,60
108480,62
108720,64
108960,55
109560,60
109800,60
109920,60
110160,60
110580,64
110820,62
110940,62
111720,55
111840,67
112020,64
112140,62
112260,60
112380,62
112620,64
112860,55
113640,55
113760,67
113880,64
114000,62
114120,60
114240,62
114480,64
114720,57
115320,67
115560,64
115680,67
115800,64
115920,62
116040,60
116160,62
116400,64
116640,55
117240,60
117480,60
117600,60
117840,60
118260,64
118500,62
118620,62
119400,55
119520,67
119700,64
119820,62
119940,60
120060,62
120300,64
120540,55
121320,55
121440,67
121560,64
121680,62
121800,60
121920,62
122160,64
122400,57
123000,67
123240,64
123360,67
123480,64
123600,62
123720,60
123840,62
124080,64
124320,55
124920,60
125160,60
125280,60
125520,60
125940,64
126180,62
126300,62
