time,semitone
48000,59
48780,57
48940,59
49780,57
52780,57
53100,59
53420,61
53740,64
55200,61
55520,59
60480,57
60800,52
60960,54
61280,52
64340,64
64660,61
64980,64
65300,61
65780,59
66100,61
66260,57
68180,57
68500,52
68660,54
68980,52
71980,64
72300,61
72620,64
72940,61
73440,59
73760,61
73920,57
76180,59
76340,61
76660,62
78100,62
78260,64
78580,66
79080,64
79560,62
80040,61
80520,61
81000,62
81160,59
83840,59
84000,61
84320,62
85940,64
86260,66
86900,64
87220,62
87700,61
88180,61
88680,57
88840,59
90740,61
90740,57
91060,57
91060,54
91220,61
91220,57
91540,62
91540,59
91700,64
91700,61
92020,66
92020,62
92660,64
92660,61
95360,59
95840,61
96000,59
96480,61
96800,57
98420,61
98420,57
98740,57
98740,54
98900,61
98900,57
99220,62
99220,59
99380,64
99380,61
99700,66
99700,62
100340,64
100340,61
103220,59
103700,59
104020,61
104180,57
122900,69
123680,66
124320,64
124640,66
124800,61
126080,59
126560,57
126720,59
128000,61
128480,57
130580,61
130580,52
130900,62
130900,54
131060,61
131060,57
131380,62
131380,59
131540,64
131540,61
132020,64
132020,61
132980,61
133300,59
133940,57
134260,59
135840,61
136160,57
137580,59
137740,61
138060,62
139500,62
139660,64
139980,66
140460,64
140940,62
141420,61
141900,61
142380,62
142540,59
145300,59
145460,61
145780,62
147240,64
147720,64
147720,66
148340,64
148660,62
149300,61
149780,61
150100,62
150260,59
152180,61
152180,57
152500,57
152500,54
152660,61
152660,57
152980,62
152980,59
153140,64
153140,61
153460,66
153460,62
154100,64
154100,61
157280,61
157440,59
157920,57
158240,59
158720,61
159200,57
159840,61
159840,57
160160,57
160160,54
160320,61
160320,57
160640,62
160640,59
160800,64
160800,61
161120,66
161120,62
161760,64
161760,61
164940,61
165100,59
165600,57
165920,59
166560,54
166880,54
167820,52
168960,64
169440,61
169760,59
169920,57
170240,59
170400,61
170720,64
171360,61
171680,59
171840,57
172160,59
172320,61
172640,65
173280,61
173600,59
173760,57
174080,59
174240,61
174560,65
175040,61
175520,59
175680,57
177120,66
177600,61
178080,59
178400,57
180020,59
180500,61
180660,59
180820,57
180980,59
181940,61
184340,64
184820,61
185140,59
185300,57
185620,59
185780,61
186100,64
186740,61
187060,59
187220,57
187540,59
187700,61
188020,65
188660,61
188980,59
189140,57
189460,59
189620,61
189940,65
190440,61
190920,59
191080,57
191560,59
192500,66
192980,61
193460,59
193780,57
195360,59
195980,59
196140,57
196300,59
197260,61
233260,61
233740,61
234060,62
235680,64
236000,66
236640,64
236960,62
237380,61
237920,61
238400,62
238560,59
240960,59
241440,59
241760,60
243380,62
243700,64
244340,62
244660,60
245020,59
245500,59
246100,60
246260,57
248660,57
249140,57
249460,58
251020,60
251340,62
252000,60
252240,58
252720,57
254260,62
254740,64
255220,64
257760,61
258080,59
258240,57
258560,59
258720,61
259040,64
259680,61
260000,59
260160,57
260480,59
260640,61
260960,65
261600,61
261920,59
262080,57
262400,59
262560,61
262880,65
263340,61
263820,59
263980,57
265420,66
265900,61
266380,59
266700,57
268320,59
268800,61
268960,59
269120,57
269280,59
270240,61
272640,64
273120,61
273440,59
273600,57
273920,59
274080,61
274400,64
275040,61
275360,59
275520,57
275840,59
276000,61
276320,65
276960,61
277280,59
277440,57
277760,59
277920,61
278240,65
278720,61
279200,59
279360,57
279840,59
280800,66
281280,64
282060,59
282140,61
282560,57
283940,59
287360,66
288000,64
288480,61
288800,62
288980,64
289460,61
289780,62
289920,64
290240,61
290660,57
292100,59
292580,61
292740,59
293280,57
293600,57
294980,61
295700,59
296020,57
296180,54
296960,61
297600,59
297920,57
298100,57
299060,61
303360,64
303780,59
303860,61
304180,59
304340,57
304660,59
304820,61
305060,64
305700,59
305780,61
306100,59
306260,57
306580,59
306740,61
307060,65
307600,59
307680,61
308000,59
308160,57
308480,59
308640,61
308960,65
309380,59
309460,61
309940,59
310100,57
310580,59
312020,57
312340,61
312820,61
313320,62
313480,61
