time,semitone
9120,60
9360,69
10800,67
11040,65
11280,65
11760,64
12000,64
12480,64
12720,62
12960,62
13200,60
13440,64
13680,64
14160,64
14400,64
14640,62
15120,62
15600,60
15840,60
16800,60
17040,69
18480,67
18720,65
18960,65
19440,64
19680,64
20160,64
20400,62
20640,62
20880,60
21120,64
21360,64
21840,64
22080,64
22320,62
22560,62
22800,60
32160,60
32400,69
33840,67
34080,65
34320,65
34800,64
35040,64
35520,64
35760,62
36000,62
36240,60
36480,64
37200,64
37320,59
37440,64
37680,62
38160,62
38640,60
38880,60
39840,60
40080,69
41520,72
41760,72
42000,72
42480,64
42720,67
43200,64
43440,67
43680,72
43920,69
44160,71
44880,71
45120,76
45360,74
45600,74
45840,72
47040,69
47280,71
47520,72
47760,69
48000,74
48240,76
48720,76
48960,76
49200,74
49440,72
49680,74
50160,76
50400,67
50880,64
51120,67
51360,72
51600,69
51840,71
52560,71
52800,76
53040,74
53280,74
53520,74
54000,76
54240,72
54720,69
54960,71
55200,72
55440,69
55680,74
55920,76
56400,76
56640,76
56880,74
57120,74
57360,72
57600,74
57840,76
58080,67
58560,64
58800,67
59040,72
59280,69
59520,71
60240,71
60480,76
60720,74
60960,74
61200,74
61440,74
61680,76
61920,72
70560,60
70800,69
72240,67
72480,65
72720,65
73200,64
73440,64
73920,64
74160,62
74400,62
74640,60
74880,64
75600,64
75720,59
75840,64
76080,62
76560,62
77040,60
77280,60
78240,60
78480,69
79920,72
80160,72
80400,72
80880,64
81120,67
81600,64
81840,67
82080,72
82320,69
82560,71
83280,71
83520,76
83760,74
84000,74
84240,72
85440,69
85680,71
85920,72
86160,69
86400,74
86640,76
87120,76
87360,76
87600,74
87840,72
88080,74
88560,76
88800,67
89280,64
89520,67
89760,72
90000,69
90240,71
90960,71
91200,76
91440,74
91680,74
91920,74
92400,76
92640,72
93120,69
93360,71
93600,72
93840,69
94080,74
94320,76
94800,76
95040,76
95280,74
95520,74
95760,72
96000,74
96240,76
96480,67
96960,64
97200,67
97440,72
97680,69
97920,71
98640,71
98880,76
99120,74
99360,74
99600,74
99840,74
100080,76
100320,72
116640,60
116880,69
118320,67
118560,65
118800,65
119280,64
119520,64
120000,64
120240,62
120480,62
120720,60
120960,64
121200,64
121680,64
121920,64
122160,62
122640,62
123120,60
123360,60
