time,semitone
1920,47
2160,47
2400,47
2640,47
2880,47
3120,47
3360,47
3600,47
3840,47
4080,47
4320,47
4560,47
4800,47
5040,47
5280,47
5520,47
5760,47
6000,47
6240,47
6480,47
6720,47
9120,57
9360,59
9600,61
9840,59
10080,61
12960,59
13200,59
13440,62
13680,62
14160,61
14640,62
15120,59
17040,54
17280,59
17520,59
18000,57
18480,57
18960,56
19920,52
20160,59
20400,59
20640,57
21120,61
21360,61
21840,59
22320,59
22800,57
24480,57
24720,59
24960,61
25200,59
25440,61
28320,59
28560,59
28800,62
29040,62
29520,61
30000,62
30480,59
32400,54
32640,59
32880,59
33360,57
33840,57
34320,56
35280,52
35520,59
35760,59
36000,57
36480,61
36720,61
37200,59
37680,59
38160,57
40320,61
41280,59
41760,61
42240,57
42960,52
43200,61
43440,61
43680,61
43920,59
44160,62
44400,62
44880,61
45360,62
45840,59
46800,57
48000,59
48960,57
49440,59
49920,56
50640,52
50880,59
51120,59
51360,59
51600,57
51840,61
52080,61
52560,59
53040,61
53520,57
70560,57
70800,59
71040,61
71280,59
71520,61
73920,61
74160,61
74400,59
74640,59
74880,62
75120,62
75600,61
76080,62
76560,59
78240,52
78480,52
78720,59
78960,57
79200,59
81360,52
81600,59
81840,59
82080,57
82560,61
82800,61
83280,59
83760,59
84240,57
86400,61
87360,59
87840,61
88320,57
89040,52
89280,61
89520,61
89760,61
90000,59
90240,62
90480,62
90960,61
91440,62
91920,59
92880,57
94080,59
95040,57
95520,59
96000,56
96720,52
96960,59
97200,59
97440,59
97680,57
97920,61
98160,61
98640,59
99120,61
99600,57
101760,61
102480,59
102720,59
103200,61
103680,57
104400,52
104640,61
104880,61
105120,61
105360,59
105600,62
105840,62
106320,61
106800,62
107280,59
108240,57
109440,59
110160,57
110400,57
110880,59
111360,56
112080,52
112320,59
112560,59
112800,59
113040,57
113280,61
113520,61
114000,59
114480,61
114960,57
116880,59
117120,54
117600,56
117840,57
118320,61
118800,54
120720,57
120960,57
121200,56
121680,56
122160,52
122640,52
124560,54
124800,54
125280,56
125520,57
126000,61
126480,54
128400,57
128640,57
128880,56
129360,56
129840,56
130320,64
133920,57
134160,59
134400,61
134640,59
134880,61
137760,59
138000,59
138240,62
138480,62
138960,61
139440,62
139920,59
141600,52
141840,52
142080,59
142320,57
142560,59
144720,52
144960,59
145200,59
145440,57
145920,61
146160,61
146640,59
147120,59
147600,57
149760,61
150720,59
151200,61
151680,57
152400,52
152640,61
152880,61
153120,61
153360,59
153600,62
153840,62
154320,61
154800,62
155280,59
156240,57
157440,59
158400,57
158880,59
159360,56
160080,52
160320,59
160560,59
160800,59
161040,57
161280,61
161520,61
162000,59
162480,61
162960,57
165120,61
165840,59
166080,59
166560,61
167040,57
167760,52
168000,61
168240,61
168480,61
168720,59
168960,62
169200,62
169680,61
170160,62
170640,59
171600,57
172800,59
173520,57
173760,57
174240,59
174720,56
175440,52
175680,59
175920,59
176160,59
176400,57
176640,61
176880,61
177360,59
177840,61
178320,57
180480,61
181200,59
181440,59
181920,61
182400,57
184320,62
185040,61
185280,61
185760,62
186240,59
188160,59
188880,57
189120,57
189600,59
190080,56
192000,61
192720,59
192960,59
193440,61
193920,57
195840,61
196560,59
196800,59
197280,61
197760,57
199680,62
200400,61
200640,61
201120,62
201600,59
203520,59
204240,57
204480,57
204960,59
205440,56
207360,61
208080,59
208320,59
208800,61
209280,57
