time,semitone
5760,62
6000,61
6240,61
7200,60
9600,62
9840,62
10080,62
10560,62
11040,62
13440,62
15360,62
15600,62
15840,62
17280,62
19200,62
19440,62
19680,62
19920,62
26760,66
26880,69
27120,66
27240,69
27600,66
27720,69
28080,66
28200,64
28560,62
28680,64
28920,66
30600,66
30720,67
30960,66
31080,67
31440,66
31560,67
31920,66
32040,62
32280,64
32640,64
34440,66
34560,69
34800,66
34920,69
35280,66
35400,69
35640,66
36360,66
36480,69
36720,69
36840,69
37080,71
37320,72
37560,71
38160,69
38280,66
38520,69
38640,67
38880,67
39840,67
39960,67
40320,69
40440,70
40680,69
42120,67
42240,69
42480,66
42600,69
42960,66
43080,69
43320,66
43680,66
43840,64
44000,62
44160,64
44400,66
44520,66
45960,66
46080,67
46320,66
46440,67
46680,69
46920,67
47520,66
47680,64
47840,62
48000,62
48600,64
48840,64
49800,66
49920,69
50160,66
50280,69
50640,66
50760,69
51000,66
51720,66
51840,69
51960,69
52080,69
52200,69
52320,69
52440,71
52680,72
52920,71
53280,69
53440,69
53600,66
53760,69
53920,67
54080,67
55220,67
55380,67
55540,67
55700,69
55860,71
56020,69
59400,69
59740,74
59860,74
60220,76
60340,78
61300,74
61420,76
61660,74
61780,73
62140,74
62260,76
62860,73
63020,74
63180,76
63340,76
63960,74
64200,74
65160,74
65500,74
65620,72
65860,74
66220,76
66460,79
66580,78
66820,76
67060,76
67800,74
68040,74
69000,71
69340,73
69460,74
69940,69
70060,71
70300,74
70420,73
70660,74
70900,66
71020,67
71260,66
71500,67
71740,66
71980,67
72220,67
72460,78
72700,76
74640,69
75100,78
75220,78
75580,76
75700,78
76660,76
76780,76
77020,74
77140,73
77500,74
77620,76
78220,73
78380,74
78540,76
78700,76
79320,78
79680,74
80520,74
80860,74
80980,72
81340,74
81460,76
81820,79
81940,78
82420,76
82540,76
82780,74
83020,73
83260,74
84340,71
84460,69
84700,73
84820,74
85300,69
85420,71
85660,74
85780,73
86020,74
86260,66
86380,67
86620,66
86860,67
87100,66
87340,78
87820,76
87940,74
88180,76
88300,76
105480,69
105820,74
105940,74
106300,76
106420,78
107380,74
107500,76
107740,74
107860,73
108220,74
108340,76
108940,73
109100,74
109260,76
109420,76
110040,74
110280,74
111240,74
111580,74
111700,72
111940,74
112300,76
112540,79
112660,78
112900,76
113140,76
113880,74
114120,74
115080,71
115420,73
115540,74
116020,69
116140,71
116380,74
116500,73
116740,74
116980,66
117100,67
117340,66
117580,67
117820,66
118060,67
118300,67
118540,78
118780,76
120720,69
121180,78
121300,78
121660,76
121780,78
122740,76
122860,76
123100,74
123220,73
123580,74
123700,76
124300,73
124460,74
124620,76
124780,76
125400,78
125760,74
126600,74
126940,74
127060,72
127420,74
127540,76
127900,79
128020,78
128500,76
128620,76
128860,74
129100,73
129340,74
130420,71
130540,69
130780,73
130900,74
131380,69
131500,71
131740,74
131860,73
132100,74
132340,66
132460,67
132700,66
132940,67
133180,66
133420,78
133900,76
134020,74
134260,76
134380,76
137040,78
137280,78
139180,79
139660,78
140140,79
140860,78
141100,78
