time,semitone
10500,59
10580,66
10740,64
10820,66
11300,64
11460,66
11780,66
12260,69
12420,64
12740,66
14300,59
14380,66
14540,64
14780,64
15020,62
15100,59
15840,66
16000,64
16240,66
18140,59
18220,66
18380,64
18460,66
18940,66
19100,64
19420,66
19900,69
20060,64
20380,62
21760,59
21840,59
22000,59
22080,66
22240,64
22720,64
22960,62
23040,64
23280,66
23440,66
33580,66
33820,64
33980,66
34460,64
34580,66
35420,69
35500,66
35740,64
35900,66
37100,62
37260,59
37420,66
37660,64
38080,64
38320,62
38400,64
39120,64
39280,66
41200,64
41280,66
41440,64
41520,66
42060,64
42220,66
43120,69
43200,66
43440,64
43600,66
44800,62
45040,59
45120,66
45360,64
45780,64
46020,62
46100,64
46340,66
47060,66
47300,69
47780,69
48980,69
49220,74
49460,74
49700,74
50180,73
50900,69
51140,76
51380,73
51620,74
52820,69
53060,74
53300,73
53540,74
54020,69
54140,69
54500,67
54620,67
54980,67
55220,71
55460,69
56660,69
56900,74
57140,74
57380,74
57860,73
58580,69
58820,76
59060,73
59300,74
60500,69
60740,74
60980,73
61220,74
61700,69
61820,69
62180,67
62300,67
62660,67
62900,71
63140,69
64340,69
64580,74
64820,74
65060,74
65540,73
66260,69
66500,76
66740,73
66980,74
68180,69
68420,74
68660,73
68900,74
69380,69
69500,69
69860,67
69980,67
70340,67
70580,71
70820,69
72020,69
72260,74
72500,74
72740,74
73220,73
73940,69
74180,76
74420,73
74660,74
75860,69
76100,74
76340,73
76580,74
77060,69
77180,69
77540,67
77780,67
78020,66
78740,66
78980,69
79700,74
99860,69
100100,74
100340,74
100580,74
101060,73
102020,69
102500,67
102740,66
103940,67
104420,69
104660,69
105860,66
107540,69
107780,74
108020,74
108260,74
108740,73
110420,74
112340,78
112580,79
112700,78
112940,79
113060,78
113300,79
113420,78
113780,76
114020,74
115220,69
115460,74
115700,74
115940,74
116420,73
117140,69
117380,76
117620,73
117860,74
119060,69
119300,74
119540,73
119780,74
120260,69
120380,69
120740,67
120860,67
121220,67
121460,71
121700,69
122900,69
123140,74
123380,74
123620,74
124100,73
124820,69
125060,76
125300,73
125540,74
126740,69
126980,74
127220,73
127460,74
127940,69
128060,69
128420,67
128540,67
128900,67
129140,71
129380,69
130580,69
130820,74
131060,74
131300,74
131780,73
132500,69
132740,76
132980,73
133220,74
134420,69
134660,74
134900,73
135140,74
135620,69
135740,69
136100,67
136220,67
136580,67
136820,71
137060,69
138260,69
138500,74
138740,74
138980,74
139460,73
140180,69
140420,76
140660,73
140900,74
142100,69
142340,74
142580,73
142820,74
143300,76
143420,78
143780,79
143900,78
144260,76
144380,74
144740,78
