time,semitone
1440,52
1600,52
1780,57
1900,61
2040,59
2160,61
2880,64
3120,64
3240,62
3720,61
4060,62
4300,54
5500,57
5620,57
5740,59
5980,57
6100,59
6460,57
6580,59
7180,57
7340,59
7580,57
7700,62
7940,62
8180,52
9140,52
9300,52
9480,57
9600,61
9720,59
9840,61
10560,64
10800,64
10920,62
11400,61
11520,61
11760,62
12000,64
12240,54
13200,56
13320,56
13440,59
13680,57
13800,59
14160,57
14280,59
14880,56
15040,56
15200,57
15360,59
17040,57
17280,57
24720,57
24840,59
24960,61
25200,59
25320,61
25560,59
25800,61
26040,52
26520,52
26700,64
26860,64
27360,62
27600,54
28560,56
28680,57
29020,57
29140,59
29500,57
29620,59
29860,52
30340,52
30700,62
31200,62
31440,61
32400,57
32520,59
32860,59
32980,61
33340,59
33460,61
33700,52
34180,52
34420,64
34540,64
35040,66
35280,62
36000,61
36240,59
36720,57
36840,59
37080,57
37440,59
37560,57
38040,59
38520,57
38880,57
40080,57
40200,59
40540,59
40660,61
41020,59
41140,61
41500,52
41620,52
41860,64
42220,64
42840,62
43200,54
43920,56
44040,57
44380,57
44500,59
44860,57
44980,59
45220,52
45700,52
45940,62
46060,62
46680,61
46920,61
47760,57
47880,59
48220,59
48340,61
48700,59
48820,61
49180,52
49300,52
49540,64
49900,64
50400,66
50640,62
51360,61
51600,59
52060,57
52180,59
52420,57
52660,59
52900,57
53380,59
53980,57
54220,57
56860,62
57220,61
57580,57
60960,52
61120,52
61360,57
61460,61
61580,59
61700,61
62420,64
62660,64
62780,62
63260,61
63380,61
63620,62
63860,64
64940,56
65180,57
65300,59
65540,57
65660,59
66020,57
66140,59
66740,57
66900,59
67080,57
67200,62
67440,62
67680,52
68760,52
68880,52
69000,57
69120,61
69240,59
69360,61
70080,64
70320,64
70440,62
70920,61
71040,61
71280,62
71520,64
71760,54
72720,56
72840,56
72960,59
73200,57
73320,59
73680,57
73800,59
74400,56
74560,56
74720,57
74880,59
76560,57
76800,57
77760,64
77760,60
78000,62
78000,59
78240,60
78240,57
78480,62
78480,59
78720,61
78720,57
93600,54
93760,54
93940,59
94060,63
94200,61
94320,63
95040,66
95280,66
95400,64
95880,63
96220,64
96460,56
97540,58
97780,59
97900,61
98140,59
98260,61
98620,59
98740,61
99340,59
99500,61
99740,59
99860,64
100100,64
100340,54
101420,54
101540,54
101660,59
101780,63
101900,61
102020,63
102740,66
102980,66
103100,64
103580,63
103700,63
103940,64
104180,66
104420,56
105380,58
105500,58
105620,61
105860,59
105980,61
106340,59
106460,61
107060,58
107220,59
107380,61
107540,61
107780,63
108020,54
109100,59
109220,59
109340,61
109460,63
109580,61
109700,63
110420,66
110660,66
110780,64
111260,63
111380,63
111620,64
111860,56
113060,59
113180,59
113300,61
113540,59
113660,61
114020,59
114140,61
114740,59
114900,61
115080,59
115200,64
115440,64
115680,54
116760,54
116880,54
117000,59
117120,63
117240,61
117360,63
118080,66
118320,66
118440,64
118920,63
119040,63
119280,64
119520,66
119760,56
120720,58
120840,58
120960,61
121200,59
121320,61
121680,59
121800,61
122400,58
122560,58
122720,59
122880,61
124560,59
124800,58
126240,58
126400,58
126560,59
126720,61
128400,59
128640,58
