time,semitone
24240,57
24480,57
24720,54
24960,57
25680,54
25920,57
26640,54
26880,57
27120,57
27360,59
27600,57
28080,62
28320,62
28560,61
28800,61
29280,62
29520,54
32160,50
32400,50
32640,59
32880,59
33120,57
33360,57
33600,55
34320,50
34560,59
34800,59
35040,57
35280,57
35520,55
36240,54
36480,55
37200,54
37440,54
39600,57
39600,54
39840,57
39840,52
40080,54
40080,50
40320,57
40320,54
41040,54
41040,50
41280,57
41280,54
42000,54
42000,50
42240,57
42240,54
42480,57
42480,54
42720,59
42720,55
42960,57
42960,54
43440,62
43680,62
43920,61
44160,61
44640,62
44880,62
47760,54
47760,50
48000,62
48000,59
48240,62
48240,59
48480,61
48480,57
48720,61
48720,57
48960,59
48960,55
49680,54
49680,50
49920,62
49920,59
50160,62
50160,59
50400,61
50400,57
50640,61
50640,57
50880,59
50880,55
51600,57
51600,54
51840,59
51840,55
52560,62
52560,57
52800,62
52800,57
54720,54
54960,55
55200,57
55440,64
56160,64
56400,62
57120,62
57360,61
58560,50
58800,52
59040,54
59280,62
60000,62
60240,61
61200,50
62400,54
62640,55
62880,57
63120,69
63120,64
63840,69
63840,64
64080,67
64080,62
64800,66
64800,62
65040,64
65040,61
66000,64
66000,61
66240,64
66240,61
66560,66
66560,62
66980,67
66980,64
67220,67
67220,64
67700,66
67700,62
67940,66
67940,62
69140,64
69140,61
69860,62
70100,62
70340,62
70580,62
70820,61
71060,61
71540,62
71780,61
72020,54
72500,54
72740,52
72980,54
73700,62
73940,62
74180,61
74420,61
74660,57
74900,61
75380,62
75620,61
75860,54
76340,54
76580,52
76820,54
77540,54
77780,54
78020,54
78260,57
78500,54
78740,55
78980,55
79220,62
79460,62
80420,54
80660,55
80900,55
81140,55
81380,64
81860,62
82340,61
82820,62
83060,54
85220,62
85460,62
85700,62
85940,62
86180,61
86420,61
86900,62
87140,61
87380,54
87860,54
88100,52
88340,54
89060,62
89300,62
89540,61
89780,61
90020,57
90260,61
90740,62
90980,61
91220,54
91700,54
91940,52
92180,54
92900,54
93140,54
93380,54
93620,57
93860,54
94100,55
94340,55
94580,62
94820,62
95780,54
96020,55
96260,55
96500,55
96740,64
97220,62
97700,61
98180,62
98420,62
116180,54
116420,55
116660,57
116900,64
117620,64
117860,62
118580,62
118820,61
120020,50
120260,52
120500,54
120740,62
121460,62
121700,61
122660,50
123860,54
124100,55
124340,57
124580,64
125300,64
125540,62
126260,62
126500,61
127460,61
127700,61
128060,62
128420,64
128660,64
129140,62
129380,66
130340,66
130580,64
133220,62
133460,62
133700,62
133940,62
134180,61
134420,61
134900,62
135140,61
135380,54
135860,54
136100,52
136340,54
137060,62
137300,62
137540,61
137780,61
138020,57
138260,61
138740,62
138980,61
139220,54
139700,54
139940,52
140180,54
140900,54
141140,54
141380,54
141620,57
141860,54
142100,55
142340,55
142580,62
142820,62
143780,54
144020,55
144260,55
144500,55
144740,64
145220,62
145700,61
146180,62
146420,54
148580,66
148580,62
148820,66
148820,62
149060,66
149060,62
149300,66
149300,62
149540,66
149540,61
149780,64
149780,61
150260,66
150260,62
150500,66
150500,61
150740,66
150740,54
151220,66
151220,54
151460,67
151460,52
151700,66
151700,54
152420,66
152420,62
152660,66
152660,62
152900,66
152900,61
153140,66
153140,61
153380,66
153380,57
153620,64
153620,61
154100,66
154100,62
154340,66
154340,61
154580,66
154580,54
155060,66
155060,54
155300,64
155300,52
155780,66
155780,54
156260,66
156260,54
156500,66
156500,54
156740,66
156740,54
156980,66
156980,57
157220,66
157220,54
157460,67
157460,55
157700,66
157700,54
157940,64
157940,52
158180,62
158180,50
159140,57
159140,54
159380,62
159380,55
159620,62
159620,55
159860,62
159860,55
160100,64
160100,61
160580,62
160580,57
161060,64
161060,61
161540,66
161540,62
161780,66
161780,62
165140,62
168020,62
168500,61
168980,61
169940,61
169940,59
171860,62
172340,61
172820,61
173780,59
174740,57
175700,62
176180,61
176660,62
180500,66
180500,62
183380,66
183380,62
183860,64
183860,61
184340,66
184340,61
185300,59
185300,62
185300,61
187220,66
187220,62
187700,64
187700,61
188180,64
188180,61
189140,59
189140,62
190100,57
191060,66
191060,62
191540,64
191540,61
192020,66
192020,62
