time,semitone
16320,64
16440,61
16560,64
16680,61
16800,64
17040,68
17280,66
17520,68
20160,64
20280,61
20400,64
20520,61
20640,64
20880,68
21120,66
21360,64
24000,71
24120,68
24240,71
24360,68
24480,71
24720,73
24960,68
26400,64
26520,66
26760,68
27120,68
28320,64
28440,66
28680,68
29040,64
31680,64
31800,61
31920,64
32040,61
32160,64
32400,68
32640,66
32880,68
35520,64
35640,61
35760,64
35880,61
36000,64
36240,68
36480,66
37200,64
37440,66
37680,68
37920,66
38160,64
39360,71
39480,68
39600,71
39720,68
39840,71
40080,73
40320,68
41760,64
41880,66
42120,68
42480,68
43680,71
43800,69
44040,68
44400,64
46080,71
46200,71
46440,71
46800,68
47040,66
47520,68
48360,64
48600,68
48960,66
49440,68
50280,64
50520,68
50880,66
51360,63
51600,64
53760,71
53880,71
54120,71
54480,68
54720,66
55200,68
56040,64
56280,68
56640,66
57120,68
57960,64
58200,68
58560,66
59040,64
59280,71
60480,64
60600,66
60840,68
61080,66
61200,64
70080,64
70200,61
70320,64
70440,61
70560,64
70800,68
71040,66
71280,68
73920,64
74040,61
74160,64
74280,61
74400,64
74640,68
74880,66
75120,64
77760,71
77880,68
78000,71
78120,68
78240,71
78480,73
78720,68
80160,64
80280,66
80520,68
80880,68
82080,64
82200,66
82440,68
82800,64
85440,76
85800,75
86160,71
86400,71
89280,76
89640,75
90000,71
90240,68
90600,69
90960,71
91200,68
91680,64
93120,76
93480,75
93840,71
94080,71
95760,71
95880,73
96240,71
96480,71
96720,68
96840,71
97800,73
98160,71
98400,71
98640,68
98760,71
99360,59
99840,71
99960,71
100200,71
100560,68
100800,66
101280,68
102120,64
102360,68
102720,66
103200,68
104040,64
104280,68
104640,66
105120,63
105360,64
107520,71
107640,71
107880,71
108240,68
108480,66
108960,68
109800,64
110040,68
110400,66
110880,68
111720,64
111960,68
112320,66
112800,64
113040,71
114720,73
114900,71
115200,71
115320,71
115560,71
115920,68
116160,66
116640,68
117480,64
117720,68
118080,66
118560,68
119400,64
119640,68
120000,66
120480,63
120720,64
122880,71
123000,71
123240,71
123600,68
123840,66
124320,68
125160,64
125400,68
125760,66
126240,68
127080,64
127320,68
127680,66
128160,64
128400,71
129600,64
129720,66
129960,68
130200,66
130320,64
137280,64
137400,66
137640,68
137880,66
138000,64
144960,64
145200,66
145320,68
145560,66
145920,64
