time,semitone
32640,62
33360,64
33840,65
34560,58
36240,62
36480,60
36960,62
37200,60
37680,55
38400,60
40320,62
41040,64
41520,65
42240,58
43920,62
44160,60
44640,62
44880,60
45360,62
46080,64
48000,65
48480,62
48720,65
49200,69
49680,69
50160,67
50400,65
50640,67
51600,62
51840,69
52320,70
52560,69
53040,67
53520,67
54000,65
55680,62
56400,64
56880,65
57600,70
58560,64
59520,65
63360,62
64080,64
64560,65
65280,58
66960,62
67200,60
67680,62
67920,60
68400,55
69120,60
71040,62
71760,64
72240,65
72960,58
74640,62
74880,60
75360,62
75600,60
76080,62
76800,64
78720,65
79200,62
79440,65
79920,69
80400,69
80880,67
81120,65
81360,67
82320,62
82560,69
83040,70
83280,69
83760,67
84240,67
84720,65
86400,62
87120,64
87600,65
88320,70
89280,69
90240,67
93600,60
94080,70
94800,69
95520,60
95760,60
96240,64
96720,65
97440,60
97920,70
98640,69
99360,62
99840,62
101280,62
101760,72
102480,70
103200,62
103440,60
103680,62
105120,60
105600,69
106320,67
107040,65
107280,67
107520,67
108960,60
109440,70
110160,69
110880,60
111120,60
111600,64
112080,65
113280,70
114000,69
114720,72
115200,72
116640,60
117120,72
117840,70
118560,69
119040,73
119760,72
120240,70
120720,69
120960,69
121440,67
121680,67
122880,65
123360,64
123600,65
124080,67
124560,67
127680,69
127920,67
128160,65
128400,67
128640,65
132480,67
135360,65
136320,67
140160,62
140880,64
141360,65
142080,58
143760,62
144000,60
144480,62
144720,60
145200,55
145920,60
147840,62
148560,64
149040,65
149760,58
151440,62
151680,60
152160,62
152400,60
152880,62
153360,64
155520,65
156000,62
156240,65
156720,69
157200,69
157680,67
157920,65
158160,67
159120,60
159360,69
159840,70
160080,69
160560,67
161040,67
161520,65
163200,62
163920,64
164400,65
165120,70
166080,72
166560,72
172320,60
172800,70
173520,69
174240,60
174480,60
174960,64
175440,65
176160,60
176640,70
177360,69
178080,62
178560,62
180000,62
180480,72
181200,70
181920,62
182160,60
182400,62
183840,60
184320,69
185040,67
185760,65
186000,67
186240,67
187680,60
188160,70
188880,69
189600,60
189840,60
190320,64
190800,65
192000,70
192720,69
193440,72
193920,72
195360,60
195840,72
196560,70
197280,69
197760,73
198480,72
198960,70
199440,69
199680,69
200160,67
200400,67
203040,60
203520,70
204240,69
204960,60
205200,60
205680,64
206160,65
206880,60
207360,70
208080,69
208800,62
209280,62
210720,62
211200,72
211920,70
212640,62
212880,60
213120,62
214560,60
215040,69
215760,67
216480,65
216720,67
216960,67
218400,60
218880,70
219600,69
220320,60
220560,60
221040,64
221520,65
222720,70
223440,69
224160,72
224640,72
226080,60
226560,72
227280,70
228000,69
228480,73
229200,72
229680,70
230160,69
230400,69
230880,67
231120,67
232320,65
232800,64
233040,65
233520,67
234000,67
234720,65
268800,62
269520,64
270000,65
270720,58
272400,62
272640,60
273120,62
273360,60
273840,55
274560,60
