time,semitone
11280,54
11520,54
12000,62
12480,61
12720,59
12840,57
13200,54
13440,57
14040,59
14400,54
15120,54
15360,52
15600,55
16080,54
17040,52
17280,50
17520,55
18000,54
18960,54
19200,54
19680,62
20160,61
20400,59
20520,57
20880,54
21120,57
21720,59
22080,54
22800,54
23040,52
23280,55
23760,54
24240,52
24480,50
24720,52
25200,54
26880,62
28320,66
28800,61
30360,57
30600,57
30720,55
31680,54
32160,52
32640,54
34320,54
34560,54
35040,62
35520,61
35760,59
35880,57
36240,54
36480,57
37080,59
37440,54
38160,54
38400,52
38640,55
39120,54
40080,52
40320,50
40560,57
41040,54
42000,54
42240,54
42720,62
43200,61
43440,59
43560,57
43920,54
44160,57
44760,59
45120,54
45840,54
46080,52
46320,55
46800,54
47280,52
47520,50
47760,52
48240,54
49680,59
49920,59
50160,66
50400,64
50640,66
51120,62
51480,62
51840,59
52080,66
52320,64
52560,66
53520,62
53760,57
54000,66
54240,64
54480,66
54960,64
55320,62
55680,57
55920,59
56160,61
56400,62
56880,64
57360,59
57600,59
57840,66
58080,64
58320,66
59280,59
59400,59
59760,66
60000,64
60240,66
60960,62
61440,66
62400,64
62760,62
63120,64
80400,59
80640,59
80880,66
81120,64
81360,66
81840,62
82200,62
82560,59
82800,66
83040,64
83280,66
84240,62
84480,57
84720,66
84960,64
85200,66
85680,64
86040,62
86400,57
86640,59
86880,61
87120,62
87600,64
88080,59
88320,59
88560,66
88800,64
89040,66
90000,59
90120,59
90480,66
90720,64
90960,66
91680,62
92160,66
93120,64
93480,62
93840,64
95760,59
96000,59
96240,66
96480,64
96720,66
97200,62
97560,62
97920,59
98160,66
98400,64
98640,66
99600,62
99840,57
100080,66
100320,64
100560,66
101040,64
101400,62
101760,57
102000,59
102240,61
102480,62
102960,64
103440,59
103680,59
103920,66
104160,64
104400,66
105360,59
105480,59
105840,66
106080,64
106320,66
107040,62
107520,66
108480,64
108840,62
109200,64
111360,66
112080,64
112560,62
113040,59
113280,66
114000,64
114480,62
114960,59
115200,66
115920,64
116400,62
116880,59
117120,57
117360,59
117600,61
117840,62
118320,64
118800,62
119040,66
119760,64
120240,62
120720,59
120960,66
121680,64
122160,62
122880,57
126480,54
126720,54
127200,62
127680,61
127920,59
128040,57
128400,54
128640,57
129240,59
129600,54
130320,54
130560,52
130800,55
131280,54
132240,52
132480,50
132720,57
133200,54
