time,semitone
23040,64
24000,64
24480,66
24720,64
26640,64
26880,69
27360,68
27600,69
28080,66
28560,64
30720,66
31200,64
31440,66
31920,69
32640,64
33120,63
33360,64
33840,69
34560,62
35040,61
35280,62
36000,61
36240,59
38400,64
39360,64
39840,66
40080,64
42000,64
42240,69
42720,68
42960,69
43440,66
43920,64
46080,66
46560,64
46800,66
47280,69
48000,64
48480,63
48720,64
49200,69
49920,69
50400,69
50640,73
51360,69
51600,71
53520,73
53760,74
54240,73
54480,69
54960,69
55200,66
55440,71
57360,73
57600,74
58080,73
58320,74
58800,74
59160,76
59520,71
61200,73
61440,74
61920,73
62160,69
62640,69
62880,66
63120,71
65040,73
65280,74
65760,73
66000,74
66480,74
66840,76
67200,71
71040,73
71280,74
71520,73
71760,71
72000,69
72480,71
72720,73
74640,69
75120,71
75360,69
75600,68
75840,69
76320,64
76560,62
77280,73
77520,71
78720,73
78960,74
79200,73
79440,71
79680,69
80160,76
80400,73
82320,69
82800,71
83040,69
83280,68
83520,69
84240,69
84720,71
84960,73
85200,69
86400,69
86640,71
86880,69
87120,68
87360,69
87840,73
88080,71
91680,73
92160,69
107520,64
107760,66
108000,69
108240,71
108480,73
108960,69
109200,64
111120,64
111360,69
111840,68
112080,71
112560,68
113040,64
115200,66
115680,64
115920,66
116400,69
117120,73
117600,69
117840,69
118320,69
119040,69
119520,69
119760,73
120240,69
120720,76
122160,73
122880,74
123360,73
123600,69
124080,69
124320,73
124560,71
126480,73
126720,74
127200,73
127440,74
127920,74
128280,76
128640,71
129600,73
130560,74
131040,73
131280,69
131760,69
132000,66
132240,71
134160,73
134400,74
134880,73
135120,74
135600,74
135960,76
136320,76
140160,73
140400,74
140640,73
140880,71
141120,69
141600,71
141840,73
143760,69
144240,71
144480,69
144720,68
144960,69
145440,64
145680,62
146400,73
146640,71
147840,73
148080,74
148320,73
148560,71
148800,69
149280,76
149520,73
151440,69
151920,71
152160,69
152400,68
152640,69
153360,69
153840,71
154080,73
154320,69
155520,69
155760,71
156000,69
156240,68
156480,69
156960,73
157200,71
160800,69
161280,76
174240,69
174720,71
175680,73
176640,75
176880,76
177120,75
177360,73
177600,71
178080,73
178320,75
180240,71
180720,73
180960,71
181200,70
181440,71
181920,75
182160,76
182880,78
183120,73
184320,75
184560,76
184800,75
185040,73
185280,71
185760,71
186240,78
187920,71
188400,73
188640,71
188880,70
189120,71
189840,78
190320,75
190560,75
190800,71
191760,71
192240,73
192480,71
192720,70
192960,71
193440,75
193680,76
194160,73
195360,72
195600,73
195840,75
197760,65
198000,66
198240,65
198480,63
198720,61
199200,63
199680,65
201360,61
201840,63
202080,61
202320,60
202560,61
203040,56
203280,54
204000,65
204240,63
205440,77
205680,78
205920,80
206160,75
206400,73
206880,72
207360,77
209040,73
209520,75
209760,73
210000,72
210240,73
210960,73
211440,75
211680,77
211920,73
213120,73
213360,75
213600,73
213840,72
214080,73
214560,77
214800,75
220320,68
220800,73
