time,semitone
17280,48
17340,49
18240,48
18480,49
18600,51
18840,53
19200,49
20100,49
20220,48
20460,49
20580,53
20820,56
21060,58
22020,58
22140,56
22380,61
22500,61
22740,61
22860,60
22980,61
24000,60
24000,58
24300,58
24420,56
24660,54
24900,56
24960,58
25020,56
25920,53
25920,51
25980,55
26220,56
26340,58
26700,51
26880,56
26880,53
28800,49
28800,48
29760,48
30000,49
30180,51
30420,53
30720,49
31560,49
31740,48
31980,49
32100,53
32340,56
32580,58
33480,58
33660,56
33900,61
34020,61
34260,61
34380,60
34500,61
35520,58
35580,60
35820,58
35940,56
36180,54
36420,56
36480,58
36540,56
37380,51
37440,53
37500,55
37740,56
37860,58
38100,51
38280,55
38400,56
39840,56
39900,58
40140,60
40260,60
40380,61
40620,61
40740,61
40980,61
41040,63
41340,61
41520,60
41640,58
41940,60
42240,56
43980,58
44100,60
44220,60
44280,61
44460,61
44580,61
44820,63
45120,61
45360,60
45480,58
45780,60
45960,58
46020,60
48000,60
48060,61
48540,56
49020,58
49140,61
49380,61
49620,61
49680,63
49920,61
50700,56
50820,56
50940,58
51180,61
51300,61
51540,61
51600,63
51780,61
51900,61
52620,56
52740,56
52860,58
53100,61
53220,61
53460,63
53580,65
53700,61
53820,63
55680,60
55740,61
56220,56
56700,58
56940,61
57060,61
57300,61
57420,63
57540,61
57660,61
58380,56
58500,56
58620,58
58860,61
58980,61
59220,61
59340,63
59460,61
59580,61
60300,56
60540,58
60780,61
60900,61
61140,63
61260,65
61380,61
61500,63
71040,48
71100,49
72000,48
72240,49
72360,51
72600,53
72960,49
73860,49
73980,48
74220,49
74340,53
74580,56
74820,58
75780,58
75900,56
76140,61
76260,61
76500,61
76620,60
76740,61
77760,60
77760,58
78060,58
78180,56
78420,54
78660,56
78720,58
78780,56
79680,53
79680,51
79740,55
79980,56
80100,58
80460,51
80640,56
80640,53
82560,49
82560,48
83520,48
83760,49
83940,51
84180,53
84480,49
85320,49
85500,48
85740,49
85860,53
86100,56
86340,58
87240,58
87420,56
87660,61
87780,61
88020,61
88140,60
88260,61
89280,58
89340,60
89580,58
89700,56
89940,54
90180,56
90240,58
90300,56
91140,51
91200,53
91260,55
91500,56
91620,58
91860,51
92040,55
92160,56
93600,56
93660,58
93900,60
94020,60
94140,61
94380,61
94500,61
94740,61
94800,63
95100,61
95280,60
95400,58
95700,60
96000,56
97740,58
97860,60
97980,60
98040,61
98220,61
98340,61
98580,63
98880,61
99120,60
99240,58
99540,60
99720,58
99780,60
101760,60
101820,61
102300,56
102780,58
102900,61
103140,61
103380,61
103440,63
103680,61
104460,56
104580,56
104700,58
104940,61
105060,61
105300,61
105360,63
105540,61
105660,61
106380,56
106500,56
106620,58
106860,61
106980,61
107220,63
107340,65
107460,61
107580,63
109440,60
109500,61
109980,56
110460,58
110700,61
110820,61
111060,61
111180,63
111300,61
111420,61
112140,56
112260,56
112380,58
112620,61
112740,61
112980,61
113100,63
113220,61
113340,61
114060,56
114300,58
114540,61
114660,61
114900,63
115020,65
115140,61
115260,63
132000,56
132060,58
132300,60
132420,60
132540,61
132780,61
132900,61
133140,61
133200,63
133500,61
133680,60
133800,58
134100,60
134400,56
136140,58
136260,60
136380,60
136440,61
136620,61
136740,61
136980,63
137280,61
137520,60
137640,58
137940,60
138120,58
138180,60
140160,60
140220,61
140700,56
141180,58
141300,61
141540,61
141780,61
141840,63
142080,61
142860,56
142980,56
143100,58
143340,61
143460,61
143700,61
143760,63
143940,61
144060,61
144780,56
144900,56
145020,58
145260,61
145380,61
145620,63
145740,65
145860,61
145980,63
147840,60
147900,61
148380,56
148860,58
149100,61
149220,61
149460,61
149580,63
149700,61
149820,61
150540,56
150660,56
150780,58
151020,61
151140,61
151380,61
151500,63
151620,61
151740,61
152460,56
152700,58
152940,61
153060,61
153300,63
153420,65
153540,61
153660,63
155520,60
155580,61
156060,56
156540,58
156660,61
156900,61
157140,61
157200,63
157440,61
158220,56
158340,56
158460,58
158700,61
158820,61
159060,61
159120,63
159300,61
159420,61
160140,56
160260,56
160380,58
160620,61
160740,61
160980,63
161100,65
161220,61
161340,63
163200,60
163260,61
163740,56
164220,58
164460,61
164580,61
164820,61
164940,63
165060,61
165180,61
165900,56
166020,56
166140,58
166380,61
166500,61
166740,61
166860,63
166980,61
167100,61
167820,56
168060,58
168300,61
168420,61
168660,63
168780,65
168900,61
169020,63
