time,semitone
17520,58
17640,58
17880,58
18060,58
18180,58
18420,50
18660,55
18960,53
19440,58
19560,58
19800,58
19980,58
20100,58
20340,58
20580,60
20880,62
21360,58
21480,58
21720,58
21900,58
22020,55
22320,55
22560,57
22800,57
23040,58
23400,57
23700,53
25200,58
25320,58
25560,58
25800,58
25920,58
26160,50
26400,55
26640,53
27120,58
27240,58
27480,58
27720,58
27840,58
28080,58
28320,60
28560,62
29040,58
29160,58
29400,58
29640,55
29760,55
30000,55
30180,57
30480,58
30720,57
31140,53
32880,57
33240,60
33600,58
33840,50
34080,53
34320,51
36720,57
37080,60
37380,58
37680,60
37920,62
38160,62
38640,55
38880,58
40080,53
40320,62
40560,62
40800,62
41040,63
41220,62
41760,58
42000,62
42240,62
42960,53
43200,60
44160,58
44340,60
44640,58
44880,57
45120,58
45360,57
45600,53
45840,53
46080,51
46560,62
46800,60
47700,50
48000,51
48420,62
48660,60
49440,58
49680,62
49920,62
50640,63
50880,60
51840,65
52080,63
52320,63
52320,62
52560,63
52680,62
53040,60
53280,60
53520,58
53760,55
54240,62
54480,60
55680,55
56160,62
56400,60
57120,58
57360,58
65520,58
65640,58
65880,58
66060,58
66180,58
66420,50
66660,55
66960,53
67440,58
67560,58
67800,58
67980,58
68100,58
68340,58
68580,60
68880,62
69360,58
69480,58
69720,58
69900,58
70020,55
70320,55
70560,57
70800,57
71040,58
71400,57
71700,53
73200,58
73320,58
73560,58
73800,58
73920,58
74160,50
74400,55
74640,53
75120,58
75240,58
75480,58
75720,58
75840,58
76080,58
76320,60
76560,62
77040,58
77160,58
77400,58
77640,55
77760,55
78000,55
78180,57
78480,58
78720,57
79140,53
80880,57
81240,60
81600,58
81840,50
82080,53
82320,51
84720,57
85080,60
85380,58
85680,60
85920,62
86160,62
86640,55
86880,58
88080,53
88320,62
88560,62
88800,62
89040,63
89220,62
89760,58
90000,62
90240,62
90960,53
91200,60
92160,58
92340,60
92640,58
92880,57
93120,58
93360,57
93600,53
93840,53
94080,51
94560,62
94800,60
95700,50
96000,51
96420,62
96660,60
97440,58
97680,62
97920,62
98640,63
98880,60
99840,65
100080,63
100320,63
100320,62
100560,63
100680,62
101040,60
101280,60
101520,58
101760,55
102240,62
102480,60
103680,55
104160,62
104400,60
105120,58
105360,58
107940,65
108000,67
108240,65
108960,62
109140,63
109200,65
109860,62
110160,58
111840,65
111900,67
112080,65
112800,69
113040,72
113040,70
113640,70
113940,72
114000,74
114420,72
114540,74
114600,72
114600,70
115440,62
115680,65
115740,67
115920,65
116640,62
116880,65
116880,62
117600,60
117840,58
118560,60
118740,58
118800,60
119040,62
119400,58
119700,60
120240,62
120480,63
120660,65
120720,67
120900,65
120960,67
121320,65
121380,67
121440,65
139680,58
139920,62
140160,62
140880,53
141120,60
142080,58
142260,60
142560,58
142800,57
143040,58
143280,57
143520,53
143760,53
144000,51
144480,62
144720,60
145620,50
145920,51
146340,62
146580,60
147360,58
147600,62
147840,62
148560,63
148800,60
149760,65
150000,63
150240,63
150240,62
150480,63
150600,62
150960,60
151200,60
151440,58
151680,55
152160,62
152400,60
153600,55
154080,62
154320,60
155040,58
155280,62
155520,62
156240,53
156480,60
157440,58
157620,60
157920,58
158160,57
158400,58
158640,57
158880,53
159120,53
159360,51
159840,62
160080,60
160980,50
161280,51
161700,62
161940,60
162720,58
162960,62
163200,62
163920,63
164160,60
165120,65
165360,63
165600,63
165600,62
165840,63
165960,62
166320,60
166560,60
166800,58
167040,55
167520,62
167760,60
168960,55
169440,62
169680,60
170400,58
170640,58
