time,semitone
10080,65
10200,63
10440,65
10680,63
10920,58
11160,63
11400,65
11760,67
12360,63
12480,68
12720,67
12840,65
13080,63
13320,65
13560,67
13680,63
14880,65
15000,63
15240,65
15480,67
15600,63
17760,65
17880,63
18120,65
18360,63
18600,58
18840,63
19080,65
19440,67
20040,63
20160,68
20400,67
20520,65
20760,63
21000,65
21240,67
21360,63
22560,65
22680,63
22920,65
23160,67
23280,63
24720,63
24840,62
24960,63
25200,62
25320,63
25560,70
25800,70
26640,63
26760,62
26880,63
27120,62
27240,63
27480,72
27720,70
28560,67
28800,70
29400,68
29520,67
29640,63
32400,63
32520,62
32640,63
32880,62
33000,63
33240,70
33480,70
34320,63
34440,62
34560,63
34800,62
34920,63
35160,72
35400,70
36240,67
36480,70
37080,68
37200,67
37320,68
38040,67
38160,68
38280,70
40320,63
40800,70
41280,68
41760,67
42240,65
42720,70
43200,68
43680,67
44160,63
44640,70
45120,68
45600,67
46080,68
46320,67
46440,63
46800,68
47040,67
47160,63
47520,65
47760,63
48480,70
48960,68
49440,67
49920,65
50400,70
50880,68
51360,67
51840,63
52320,70
52800,68
53280,67
53760,68
54000,67
54120,63
63840,65
63960,63
64200,65
64440,63
64680,58
64920,63
65160,65
65520,67
66120,63
66240,70
66480,68
66600,67
66840,68
67080,67
67320,63
67440,63
68640,65
68760,63
69000,65
69240,67
69360,67
70800,63
70920,62
71040,63
71280,62
71400,63
71640,70
71880,70
72720,63
72840,62
72960,63
73200,62
73320,63
73560,72
73800,70
74640,67
74880,70
75480,68
75600,67
75720,63
78480,63
78600,62
78720,63
78960,62
79080,63
79320,70
79560,70
80400,63
80520,62
80640,63
80880,62
81000,63
81240,72
81480,70
82320,67
82560,70
83160,68
83280,67
83400,68
84120,67
84240,68
84360,70
86400,63
86880,70
87360,68
87840,67
88320,65
88800,70
89280,68
89760,67
90240,63
90720,70
91200,68
91680,67
92160,68
92400,67
92520,63
92880,68
93120,67
93240,63
93600,65
93840,63
94560,70
95040,68
95520,67
96000,65
96480,70
96960,68
97440,67
97920,63
98400,70
98880,68
99360,67
99840,68
100080,67
100200,63
102480,62
102600,60
102720,62
102960,60
103080,62
103320,65
103560,65
103800,63
104400,58
104520,58
104640,67
104880,68
105000,67
105240,63
105480,65
105840,67
106320,63
106440,63
106560,63
106800,63
106920,63
107160,58
107400,65
107760,63
108480,63
108960,62
109200,60
109320,58
109440,60
109560,58
110160,62
110280,60
110400,62
110640,60
110760,62
111000,65
111240,65
111480,67
111720,63
112320,68
112440,67
112680,65
112920,63
113160,70
114240,63
114360,62
114600,63
114840,72
115200,70
116160,72
118080,65
118560,72
119040,70
119520,69
120000,67
120480,72
120960,70
121440,69
121920,65
122400,72
122880,70
123360,69
123840,70
124080,69
124200,65
124560,70
124800,69
124920,65
125280,67
125520,65
126240,72
126720,70
127200,72
127680,74
128160,72
128640,70
129120,69
129600,65
130080,72
130560,70
131040,69
131520,70
131760,69
131880,65
133920,67
134040,65
134280,67
134520,65
134760,60
135000,65
135240,67
135600,69
136200,65
136320,70
136560,69
136680,67
136920,65
137160,67
137400,69
137520,65
138720,67
138840,65
139080,67
139320,69
139440,70
