time,semitone
6240,65
6720,63
7200,58
7680,65
8040,67
8400,63
10080,65
10560,63
11040,58
11520,56
11880,63
13920,65
14400,63
14880,58
15360,65
15720,67
16080,63
17760,65
18240,63
18720,58
19200,56
19560,63
23040,70
23160,70
23280,70
23400,70
23520,70
23760,63
24000,70
24120,70
24240,70
24360,70
24480,70
24720,72
24960,70
26880,70
27000,70
27120,70
27240,70
27360,70
27600,63
27840,67
27960,67
28080,67
28200,67
28320,67
28560,68
28800,63
29520,67
30720,70
30840,70
30960,70
31080,70
31200,70
31440,63
31680,70
31800,70
31920,70
32040,70
32160,70
32400,72
32640,70
34560,70
34680,70
34800,70
34920,70
35040,70
35280,63
35520,67
35640,67
35760,67
35880,67
36000,67
36240,68
36480,63
37200,67
38880,65
39360,63
39840,58
40320,65
40680,67
41040,63
42720,65
43200,63
43680,58
44160,56
44520,63
46560,65
47040,63
47520,58
48000,65
48360,67
48720,63
50400,65
50880,63
51360,58
51840,56
52200,63
55680,70
55800,70
55920,70
56040,70
56160,70
56400,63
56640,70
56760,70
56880,70
57000,70
57120,70
57360,72
57600,70
59520,70
59640,70
59760,70
59880,70
60000,70
60240,63
60480,67
60600,67
60720,67
60840,67
60960,67
61200,68
61440,63
62160,67
63360,70
63480,70
63600,70
63720,70
63840,70
64080,63
64320,70
64440,70
64560,70
64680,70
64800,70
65040,72
65280,70
67200,70
67320,70
67440,70
67560,70
67680,70
67920,63
68160,67
68280,67
68400,67
68520,67
68640,67
68880,68
69120,63
69840,67
79200,65
79680,63
80160,58
80640,65
81000,67
81360,63
82560,70
82680,70
82800,70
82920,70
83040,70
83280,63
83520,70
83640,70
83760,70
83880,70
84000,70
84240,72
84480,70
86400,70
86520,70
86640,70
86760,70
86880,70
87120,63
87360,67
87480,67
87600,67
87720,67
87840,67
88080,68
88320,63
89040,67
90240,70
90360,70
90480,70
90600,70
90720,70
90960,63
91200,70
91320,70
91440,70
91560,70
91680,70
91920,72
92160,70
94080,70
94200,70
94320,70
94440,70
94560,70
94800,63
95040,67
95160,67
95280,67
95400,67
95520,67
95760,68
96000,63
96720,67
98400,65
98880,63
99360,58
99840,65
100200,67
100560,63
102240,70
102720,67
103200,63
103680,58
104160,65
105600,63
