time,semitone
12660,60
12960,65
13200,64
13680,62
14160,60
14640,62
15120,60
16500,60
16740,69
16980,67
17520,65
18000,64
18420,65
18900,62
20400,60
20640,65
20880,64
21360,62
21840,60
22320,62
22800,60
24180,60
24480,69
24720,67
25200,65
25680,64
26160,65
26640,65
30000,60
30300,65
30540,64
31020,62
31500,60
31980,62
32460,60
33840,60
34080,69
34320,67
34860,65
35340,64
35760,65
36240,62
37740,60
37980,65
38220,64
38700,62
39180,60
39660,62
40140,60
41520,60
41820,69
42060,67
42540,65
43020,64
43500,65
43920,65
45360,65
45600,65
45840,72
46320,65
46560,65
46800,72
47280,65
47520,65
47760,72
49200,65
49440,65
49680,72
50160,70
50400,69
50640,67
51120,69
51600,65
53040,65
53280,65
53520,72
54000,65
54240,65
54480,72
56400,60
56640,67
56880,65
57120,65
57660,64
58020,65
58320,65
58800,60
59280,60
59520,69
59880,67
60240,67
61440,67
61800,69
62160,67
64080,60
64320,67
64560,65
64800,65
65040,64
65280,64
65640,65
66000,65
66480,60
66960,60
67200,69
67560,70
67920,69
68640,65
68880,65
69120,72
69480,70
69840,69
70080,70
70560,65
72180,60
72480,65
72720,64
73200,62
73680,60
74160,62
74640,60
76080,60
76260,69
76560,67
77040,65
77520,64
78000,65
78420,62
79920,60
80160,65
80400,64
80880,62
81360,60
81840,62
82320,60
83700,60
84000,69
84240,67
84720,65
85200,64
85680,65
86160,65
87540,65
87780,65
88020,72
88500,65
88740,65
88980,72
89460,65
89700,65
89940,72
91380,65
91620,65
91860,72
92340,70
92580,69
92820,67
93300,69
93780,65
95220,65
95460,65
95700,72
96180,65
96420,65
96660,72
98580,60
98820,67
99060,65
99360,65
99840,64
100200,65
100560,65
100980,60
101460,60
101700,69
102060,67
102420,67
103620,67
103980,69
104340,67
106260,60
106560,67
106800,65
107040,65
107280,64
107460,64
107820,65
108240,65
108720,60
109140,60
109380,69
109740,70
110100,69
110820,65
111120,65
111360,72
111660,70
112020,69
112320,70
112740,65
114180,72
114600,72
114960,65
115260,67
116880,64
117120,64
117480,65
117840,72
119040,64
119400,65
119760,72
121920,72
122280,72
122640,65
122940,67
124620,64
124860,64
125220,65
125520,72
126720,64
127080,65
127500,72
133140,60
133380,67
133620,65
133860,65
134400,64
134760,65
135120,65
135540,60
136020,60
136260,69
136620,67
136980,67
138180,67
138540,69
138900,67
140820,60
141060,67
141300,65
141540,65
141780,64
142020,64
142380,65
142740,65
143220,60
143700,60
143940,69
144300,70
144660,69
145380,65
145620,65
145920,72
146220,70
146580,69
146820,70
147300,65
