time,semitone
10800,66
10920,64
11040,62
11280,66
11520,64
12720,62
12840,61
12960,62
13200,64
13440,61
14640,66
14760,64
14880,62
15120,66
15360,64
16440,61
16560,62
16680,61
16800,59
17040,61
17280,62
18480,66
18600,64
18720,62
18960,66
19200,64
20400,62
20520,61
20640,62
20880,64
21120,61
22320,66
22440,64
22560,62
22800,66
23040,64
24120,61
24240,62
24360,61
24480,59
24720,61
24960,62
26160,59
26280,61
26400,62
26640,59
26760,61
26880,62
27120,64
27360,64
28080,61
28200,62
28320,64
28560,61
28680,62
28800,64
29040,66
29280,62
29760,67
30240,66
30720,64
31200,62
31440,64
33600,66
33840,67
33960,69
34200,71
34560,69
35040,64
35400,64
35520,66
35760,67
35880,69
36120,71
36360,69
37200,62
37440,71
37680,66
37800,64
38040,71
38280,69
38760,62
39240,62
39360,69
39600,67
39720,66
39960,67
40200,66
40800,64
41280,66
41520,67
41640,69
41880,71
42240,69
42720,64
43080,64
43200,66
43440,67
43560,69
43800,71
44040,69
44880,62
45120,71
45360,66
45480,64
45720,71
45960,69
46440,62
46920,62
47040,69
47280,67
47400,66
47640,67
47880,66
48480,64
48720,62
48960,62
52800,71
53040,66
53160,64
53400,66
53520,67
53640,69
54000,64
54120,62
54360,64
54480,66
54600,67
55680,62
56160,61
56640,62
57840,59
57960,61
58080,62
58320,59
58440,61
58560,62
58800,64
59040,64
59760,61
59880,62
60000,64
60240,61
60360,62
60480,64
60720,66
60960,62
61440,67
61920,66
62400,64
62880,62
63120,64
65280,66
65520,67
65640,69
65880,71
66240,69
66720,64
67080,64
67200,66
67440,67
67560,69
67800,71
68040,69
68880,62
69120,71
69360,66
69480,64
69720,71
69960,69
70440,62
70920,62
71040,69
71280,67
71400,66
71640,67
71880,66
72480,64
72960,66
73200,67
73320,69
73560,71
73920,69
74400,64
74760,64
74880,66
75120,67
75240,69
75480,71
75720,69
76560,62
76800,71
77040,66
77160,64
77400,71
77640,69
78120,62
78600,62
78720,69
78960,67
79080,66
79320,67
79560,66
80160,64
80400,62
80640,62
82080,62
82320,66
82560,64
84000,62
84480,69
84720,69
92160,66
92400,67
92520,69
92760,71
93120,69
93600,64
93960,64
94080,66
94320,67
94440,69
94680,71
94920,69
95760,62
96000,71
96240,66
96360,64
96600,71
96840,69
97320,62
97800,62
97920,69
98160,67
98280,66
98520,67
98760,66
99360,64
99840,66
100080,67
100200,69
100440,71
100800,69
101280,64
101640,64
101760,66
102000,67
102120,69
102360,71
102600,69
103440,62
103680,71
103920,66
104040,64
104280,71
104520,69
105000,62
105480,62
105600,69
105840,67
105960,66
106200,67
106440,66
107040,64
107280,62
