time,semitone
0,65
0,56
960,63
960,56
1320,65
1320,56
1680,63
1680,56
1920,61
1920,56
2880,60
2880,53
3240,61
3240,53
3600,60
3840,61
3840,58
3840,54
4320,60
4320,56
4320,53
4800,61
4800,58
4800,54
5760,63
5760,60
5760,58
5760,54
7440,56
7500,56
7560,54
7560,54
7680,53
8580,51
9000,53
9360,56
9600,56
10080,49
11280,58
11400,53
11520,54
12480,53
12840,54
12840,53
13200,56
13440,56
13920,51
15120,56
15360,52
16320,51
16680,52
17040,56
17280,61
18960,61
19200,61
20160,64
20760,63
20940,61
21120,61
21180,63
22800,56
22920,54
23040,53
24000,51
24360,53
24720,56
24960,56
25440,49
26640,58
26760,53
26880,54
27840,53
28200,54
28584,56
28764,56
29310,51
30510,56
30744,52
31644,51
32004,52
32364,56
32664,61
34344,61
34584,61
35484,64
36144,63
36336,61
36510,63
37470,61
37950,60
38430,61
39270,61
39390,61
39630,61
39750,63
39990,65
40350,58
41130,58
41250,60
41490,60
41610,60
41850,60
42150,61
43050,61
43170,61
43410,61
43590,63
43830,61
44130,66
44670,65
45150,61
45390,63
45810,61
45930,63
46050,65
46170,63
46290,61
46950,61
47070,61
47310,61
47430,63
47670,65
47910,58
48870,58
48990,60
49230,60
49350,60
49590,60
49830,61
50730,61
50850,61
51090,61
51210,63
51510,61
51870,66
52350,65
52830,61
53070,63
53550,61
55470,56
55590,54
55710,53
56610,51
56970,53
57330,56
57630,56
57990,49
58110,49
59310,58
59430,53
59550,54
60510,53
60870,54
61230,56
61470,56
61950,51
63150,56
63390,52
64290,51
64650,52
65070,56
65310,61
66990,61
67230,61
68130,64
68790,63
68982,61
69102,61
69150,63
70050,61
70530,60
71070,61
71850,61
71970,61
72210,61
72330,63
72570,65
72810,58
73770,58
73950,60
74130,60
74250,60
74490,60
74730,61
75690,61
75810,61
76050,61
76170,63
76410,61
76770,66
77250,65
77790,61
78030,63
78450,61
78570,63
78690,65
78810,63
78930,61
79710,61
79950,61
80070,63
80250,65
80490,58
81450,58
81570,60
81810,60
81930,60
82170,60
82410,61
83370,61
83550,61
83730,61
83850,63
84090,61
84510,66
84990,65
85470,61
85710,63
