time,semitone
9360,71
9540,72
9660,74
9840,71
10620,64
10800,71
11340,69
11460,71
11640,72
11760,69
13080,71
13380,72
13500,74
13680,71
14460,64
14700,71
15180,69
15300,71
15480,72
15600,69
16560,68
17100,68
17220,69
17340,71
17520,72
17880,71
18180,69
18340,64
18520,62
19180,69
19320,71
19500,72
19800,71
20120,69
20240,76
20420,74
21120,69
21240,71
21420,72
21720,74
21900,76
22200,77
22380,74
22980,69
23280,67
24600,71
24900,72
25020,74
25200,71
26040,64
26160,71
26700,69
26820,71
27000,72
27120,69
28400,71
28700,72
28880,74
29060,71
29840,64
30020,71
30560,69
30680,71
30800,72
30980,69
31940,68
32480,68
32600,69
32720,71
32900,72
33200,71
33560,69
33680,64
33840,62
34500,69
34680,71
34840,72
35160,71
35460,69
35580,76
35760,74
36420,69
36600,71
36780,72
37080,74
37200,76
37500,77
37680,74
37980,72
38140,77
38440,76
38680,72
40000,72
40300,72
40420,72
40600,70
41320,69
41560,67
42160,72
42340,67
42500,69
43760,74
44120,74
44300,74
44420,72
45080,71
45380,69
46040,74
46160,69
46400,71
47600,76
47960,76
48080,76
48260,74
48920,73
49220,71
49880,76
50060,71
50300,73
51800,69
51920,71
52080,72
52440,72
52920,72
53100,74
53700,71
53820,69
53880,71
54000,67
55320,71
55620,72
55740,74
55980,71
56760,64
56940,71
57420,69
57540,71
57720,72
57840,69
59100,71
59460,72
59580,74
59760,71
60600,64
60720,71
61260,69
61380,71
61560,72
61740,69
62700,68
63180,68
63340,69
63500,71
63620,72
63980,71
64280,69
64400,64
64580,62
65240,69
65420,71
65540,72
65840,71
66200,69
66320,76
66500,74
67160,69
67280,71
67460,72
67780,74
67960,76
68260,77
68440,74
68740,72
68860,77
69220,76
69400,72
76600,71
76720,72
76900,74
77020,71
77860,64
78040,71
78580,69
78700,71
78840,72
79000,69
80260,71
80580,72
80680,74
80860,71
81700,64
81880,71
82360,69
82520,71
82640,72
82820,69
83780,68
84260,68
84440,69
84560,71
84740,72
85100,71
85400,69
85520,64
85700,62
86360,69
86360,68
86480,71
86660,72
86960,71
87260,69
87420,76
87660,74
88260,69
88440,71
88620,72
88920,74
89100,76
89340,77
89520,74
89820,72
90000,77
90300,76
90480,72
91760,72
92120,72
92240,72
92420,70
93200,69
93380,67
94040,72
94160,67
94320,69
95580,74
96000,74
96120,74
96280,72
96940,71
97180,69
97840,74
98020,69
98140,71
99400,76
99760,76
99960,76
100140,74
100800,73
101100,71
101700,76
101860,71
102040,73
103660,69
103800,71
103980,72
104340,72
104700,72
104940,74
105540,71
105640,69
105820,67
107320,73
107440,74
107620,76
107800,73
108580,66
108760,73
109240,71
109360,73
109540,74
109720,71
110980,73
111340,74
111480,76
111660,73
112440,66
112620,73
112980,71
113220,73
113380,74
113560,71
114520,70
115000,70
115120,71
115320,73
115500,74
115800,73
116100,71
116280,66
116460,64
117240,73
117400,74
117720,73
118020,71
118180,78
118360,76
119020,71
119160,73
119340,74
119660,76
119780,78
120080,79
120260,76
120560,74
120740,79
121040,78
121220,74
122840,71
123020,73
123180,74
123480,71
123660,74
123960,71
124120,74
126100,71
126580,79
127200,78
128520,74
