time,semitone
1200,50
1440,55
1680,64
1920,62
3120,55
3360,57
3600,59
3840,59
4320,50
5280,50
5520,50
5760,55
6000,64
6120,62
6240,62
6960,55
7200,57
7440,59
7680,60
7920,60
9360,57
9480,59
9600,60
9840,60
10080,59
10320,59
10560,57
10800,57
11040,64
11280,64
11520,62
11760,62
12000,60
12240,60
12480,59
13200,64
13440,67
13680,64
13920,59
14160,55
14400,52
14640,54
14880,55
15120,52
15360,57
16560,62
16800,55
17040,64
17160,62
18480,55
18720,57
18960,59
19200,59
19680,50
20160,50
20400,55
20640,64
20760,62
22320,56
22560,57
22800,59
23040,59
23280,60
23520,60
24720,57
24840,59
24960,60
25200,60
25440,59
25680,59
25920,57
26160,57
26400,64
26640,62
26880,62
27120,62
27360,60
27600,60
27840,59
28560,64
28800,67
29040,64
29280,59
29520,55
29760,59
30000,57
30240,59
32280,59
32400,59
32520,59
32640,71
32880,69
33120,67
33360,69
33600,71
33840,71
34080,72
34440,71
34560,69
34800,67
35040,66
35280,64
35520,63
36120,59
36240,59
36360,59
36480,64
36720,64
36960,64
37200,66
37440,67
37680,67
37920,71
38160,71
38280,67
38400,66
38640,64
38880,62
39120,60
39360,59
40080,59
55680,57
56160,64
56640,62
57360,60
57600,59
57840,59
58080,58
58200,59
58320,66
58560,66
59040,66
59280,64
59520,67
59760,64
60000,59
60240,55
60480,59
60720,59
60960,59
61200,57
61440,55
62640,59
62880,55
63120,64
63240,62
64560,55
64800,57
65040,59
65280,59
65760,50
66240,50
66480,50
66720,55
66960,64
67080,62
68400,56
68640,57
68880,59
69120,59
69480,59
70800,57
70920,59
71040,60
71280,60
71520,59
71760,59
72000,57
72240,57
72480,64
72720,64
72960,62
73200,62
73440,60
73680,60
73920,59
74640,64
74880,67
75120,64
75360,59
75600,55
75840,57
76080,59
76320,59
76560,59
76800,55
78720,67
78960,64
79200,59
79440,55
79920,59
80400,64
80640,67
80880,64
81120,59
81360,55
81600,59
82320,64
82560,67
82800,64
83040,59
83280,55
83520,59
83760,55
84000,64
84240,62
84480,55
90720,51
91200,56
91680,65
92160,63
94560,56
95040,58
95520,60
96000,60
97440,51
98400,51
98880,56
99360,65
99840,63
102240,56
102720,58
103200,60
103680,60
103920,58
107280,58
107400,60
107520,61
107760,61
108000,60
108240,60
108480,58
108720,58
108960,65
109440,63
109680,63
109920,61
110160,61
110400,60
111120,53
111360,68
111600,65
111840,60
112080,56
112320,60
114960,65
115200,68
115680,65
116160,72
117120,68
117600,60
117840,63
118080,65
118320,63
118560,56
119040,56
