time,semitone
9120,79
9600,77
9840,76
10080,77
10140,76
10320,79
11520,79
12000,79
12480,79
12960,79
13440,77
13680,79
13860,77
14040,76
14580,74
15300,72
22800,67
23040,67
23280,67
23520,67
23760,67
24000,69
24480,72
24720,69
25140,67
26640,67
26820,67
27300,67
27780,69
28320,72
28500,69
28980,67
30420,72
30660,72
30900,72
31140,72
31380,72
31620,74
32100,76
32340,72
33060,72
33600,74
34080,76
34560,76
35520,77
36420,74
38160,67
38400,69
38400,67
38640,67
38880,67
39120,67
39360,69
39840,72
40080,69
40560,67
42000,67
42000,65
42240,67
42480,67
42660,67
42900,67
43200,69
43680,72
43920,69
44400,67
45840,72
46080,72
46260,72
46500,72
46740,72
46980,74
47460,76
47700,72
48480,72
48900,74
49440,76
49860,76
50820,77
51780,74
52560,79
52980,77
53220,76
53460,74
53760,72
54660,74
54720,76
55680,74
56340,67
57120,74
57600,76
58320,72
59040,76
59520,77
60240,72
62280,79
62700,79
62880,79
63120,79
63360,79
63840,77
64320,76
64800,74
65280,76
66000,79
66420,79
66660,79
66900,81
67140,79
67680,77
68160,76
68640,74
69120,76
69840,79
70320,79
70560,79
70800,79
71040,74
71520,77
72000,76
72480,74
72960,76
73260,72
73440,74
73680,72
74160,69
74400,71
74580,72
75360,74
75600,76
76020,77
76560,74
77460,76
77520,79
77520,77
78000,79
78180,79
78420,79
78720,79
79200,77
79680,76
79920,74
80400,76
81420,79
81840,79
82080,79
82320,81
82560,79
83040,77
83520,76
83760,74
84180,76
85200,79
85680,79
85920,79
86100,79
86400,74
86880,77
87360,76
87840,74
88320,76
88620,72
88800,74
89040,72
89460,69
89700,71
89940,72
90720,74
90960,76
91380,77
91860,74
93360,72
93600,71
93900,72
97920,79
98400,79
98880,79
99360,79
99840,77
100080,79
100260,77
100500,79
101760,79
102240,79
102720,79
103140,79
103680,77
103920,79
104100,77
104340,76
104820,74
105300,72
113040,67
113280,67
113520,67
113700,67
114000,67
114180,69
114720,72
114960,69
115380,67
116820,67
117120,67
117360,67
117600,67
117780,67
118020,69
118560,72
118800,69
119220,67
120720,72
120900,72
121140,72
121380,72
121620,72
121860,74
121920,72
122340,76
122640,72
123360,72
123840,74
124320,76
124800,76
125760,77
125760,76
125760,74
125760,72
126480,74
127380,79
127380,77
127380,76
127860,77
128100,76
128340,74
128640,72
129540,74
129600,76
130500,74
131220,67
132000,74
132480,76
133200,72
133920,76
134400,77
135120,72
137160,79
137580,79
137760,79
138060,79
138240,79
138720,77
139200,76
139680,74
140160,76
140880,79
141360,79
141600,81
141600,79
142020,81
142560,77
143040,76
143280,74
143760,76
144660,77
144720,79
145140,79
145380,79
145620,79
145920,74
146400,77
146880,76
147360,74
147840,76
148140,72
148320,74
148560,72
149040,69
149280,71
149520,72
150300,74
150480,76
150960,77
150960,76
151440,74
152340,76
152400,79
152400,77
152880,79
153120,79
153300,79
153540,79
154080,77
154560,76
154800,74
155280,76
156240,79
156720,79
156900,79
157140,81
157380,79
157920,77
158400,76
158640,74
159120,76
160080,79
160560,79
160800,79
161280,74
161820,77
162240,76
162720,74
163200,76
163500,72
163680,74
163920,72
164400,69
164640,71
164880,72
164880,71
165600,74
165840,76
166320,77
166980,74
170160,72
170340,71
170580,72
174720,79
175200,79
175680,79
176160,79
176640,77
176880,79
177060,77
177300,79
178560,79
179040,79
179520,79
180000,79
180480,77
180720,79
180900,77
181140,76
181860,74
182340,72
205200,67
205440,67
205620,67
205860,67
206160,67
206400,69
206880,72
207120,69
207540,67
209040,67
209280,67
209520,67
209700,67
209940,67
210180,69
210720,72
210900,69
211380,67
212820,72
213060,72
213300,72
213540,72
213780,72
214020,74
214560,76
214800,72
215520,72
216000,74
216480,76
216960,76
217740,77
218640,74
219480,76
219540,79
219540,77
220020,77
220260,76
220440,74
220740,72
221700,74
221760,76
222720,74
223440,67
224160,74
224580,76
225300,72
226080,76
226560,77
227280,72
229260,79
229680,79
229860,79
230100,79
230340,79
230880,77
231360,76
231840,74
232320,76
233040,79
233460,79
233700,79
233940,81
234240,79
234720,77
235200,76
235440,74
235920,76
236880,79
237360,79
237600,79
237780,79
238080,74
238560,77
239040,76
239520,74
240000,76
240300,72
240480,74
240720,72
241200,69
241440,71
241680,72
242400,74
242640,76
243120,77
243540,74
244500,76
244560,79
244560,77
245040,79
245220,79
245460,79
245760,79
246240,77
246780,76
247200,74
247680,76
248400,79
248880,79
249120,79
249360,81
249600,79
250080,77
250560,76
250800,74
251280,76
252240,79
252660,79
252900,79
253140,79
253380,74
253920,77
254340,76
254880,74
255360,76
255600,72
255840,74
256080,72
256560,69
256800,71
257040,72
257760,74
258000,76
258480,77
258960,74
262200,72
262440,71
262620,72
267840,80
268200,80
268380,80
268680,80
268860,80
269340,78
269760,77
270240,75
270720,77
271440,80
271920,80
272160,80
272400,82
272580,80
273120,78
273600,77
273900,75
274320,77
275280,80
275760,80
276000,80
276480,75
276960,78
277440,77
277920,75
278400,77
278400,76
278700,73
278760,75
279060,73
279540,70
279780,72
279780,71
280020,73
280800,75
281040,77
281520,78
282000,75
282960,82
282960,80
283380,80
283620,80
283860,80
284160,80
284640,78
285180,77
285360,75
285840,77
286800,80
287220,80
287460,80
287760,82
287940,80
288540,78
288960,77
289200,75
289680,77
290640,80
291060,80
291360,80
291780,75
292320,78
292800,77
293280,75
293760,77
294060,73
294240,75
294480,73
294900,70
295200,72
295440,73
295500,74
296160,75
296400,77
296940,78
297540,75
300900,73
301020,72
301320,73
302400,80
302880,80
303360,78
303600,80
303840,78
304020,80
305280,80
305760,80
306240,80
306720,80
307200,78
307380,80
307620,78
307860,80
309120,80
309600,80
310020,80
310560,80
311040,78
311280,80
311460,78
311640,80
312240,84
312960,85
