time,semitone
18720,53
19140,60
19200,62
20640,60
20880,58
21120,60
21360,60
21600,60
22080,53
22560,53
22980,60
23040,62
24480,60
24720,58
24960,60
25200,60
25440,62
25920,62
26400,65
26820,60
26880,62
28380,60
28560,58
28800,60
29040,60
29280,60
29700,53
30240,58
30660,57
30720,58
31440,58
31680,57
31920,57
32160,57
32400,58
32640,58
34080,53
34500,60
34560,62
36000,60
36240,58
36480,60
36720,60
36960,60
37440,53
37920,53
38340,60
38400,62
39840,60
40080,58
40320,60
40560,60
40800,62
41280,62
41760,65
42180,60
42240,62
43740,60
43920,58
44160,60
44400,60
44640,60
45060,53
45600,58
46020,57
46080,58
46800,58
47040,57
47280,57
47520,57
47760,58
48000,58
49320,60
49440,62
49680,65
49920,65
50640,58
50880,60
51120,62
51360,63
51600,62
51900,62
53280,62
53520,65
53820,65
54480,58
54720,60
54960,62
55200,60
55440,58
55740,58
57120,62
57420,65
57600,65
58320,58
58560,60
58800,62
59040,63
59280,62
59520,62
60960,62
61200,65
61440,65
62160,58
62400,60
62640,62
62880,60
63120,58
63360,60
64560,62
64800,60
65280,58
68580,57
68640,58
69120,58
72480,53
72900,60
72960,62
74400,60
74640,58
74880,60
75120,60
75360,60
75840,53
76320,53
76740,60
76800,62
78240,60
78480,58
78720,60
78960,60
79200,62
79680,62
80160,65
80580,60
80640,62
82140,60
82320,58
82560,60
82800,60
83040,60
83460,53
84000,58
84420,57
84480,58
85200,58
85440,57
85680,57
85920,57
86160,58
86400,58
87720,60
87840,62
88080,65
88320,65
89040,58
89280,60
89520,62
89760,63
90000,62
90300,62
91680,62
91920,65
92220,65
92880,58
93120,60
93360,62
93600,60
93840,58
94140,58
95520,62
95820,65
96000,65
96720,58
96960,60
97200,62
97440,63
97680,62
97920,62
99360,62
99600,65
99840,65
100560,58
100800,60
101040,62
101280,60
101520,58
101760,60
102960,62
103200,60
103680,58
106980,57
107040,58
107520,58
126180,57
126240,58
126720,58
127440,58
127740,57
127980,57
128160,57
128400,58
128700,58
130620,55
131040,55
131520,57
131760,55
132000,57
132480,58
134400,58
134880,58
135300,60
135600,58
135840,60
136080,58
136320,58
138000,53
138240,58
138720,58
139200,60
139440,58
139740,60
140160,62
141360,62
141600,60
141840,58
142140,58
143280,58
143520,58
143760,60
144000,60
145140,60
145260,62
145440,60
145680,58
145980,58
147180,58
147360,65
147780,62
147840,65
147900,63
151080,62
151200,64
151440,67
151680,67
152400,60
152640,62
152880,64
153120,65
153360,64
153660,64
155040,64
155280,67
155580,67
156240,60
156480,62
156720,64
156960,62
157200,60
157500,60
158880,64
159180,67
159360,67
160080,60
160320,62
160560,64
160800,65
161040,64
161280,64
162720,64
162960,67
163200,67
163920,60
164160,62
164400,64
164640,62
164880,60
165120,62
166320,64
166560,62
167040,60
168360,62
168480,64
168720,67
168960,67
169680,60
169920,62
170160,64
170400,65
170640,64
170940,64
172320,64
172560,67
172860,67
173520,60
173760,62
174000,64
174240,62
174480,60
174780,60
176160,64
176460,67
176640,67
177360,60
177600,62
177840,64
178080,65
178320,64
178560,64
180000,64
180240,67
180480,67
181200,60
181440,62
181680,64
181920,62
182160,60
182400,62
183600,64
183840,62
184320,60
186180,59
186240,60
187200,62
188160,64
189960,59
190020,60
191040,62
192000,60
193860,59
193860,60
194880,62
195180,60
195360,62
195840,64
197280,64
197520,67
197760,67
198480,60
198720,62
198960,64
199200,62
199440,60
199680,62
201600,60
202920,62
203040,64
203280,67
203520,67
204240,60
204480,62
204720,64
204960,65
205200,64
205500,64
206880,64
207120,67
207420,67
208080,60
208320,62
208560,64
208800,62
209040,60
209340,60
210720,64
211020,67
211200,67
211920,60
212160,62
212400,64
212640,65
212880,64
213120,64
214560,64
214800,67
215040,67
215760,60
216000,62
216240,64
216480,62
216720,60
216960,62
218160,64
218400,62
218880,60
220800,62
220800,60
222660,64
222780,65
223380,64
223500,65
224100,64
224220,65
224520,64
224640,65
225300,64
225420,65
226020,59
226080,60
226560,60
