time,semitone
6960,69
7080,69
7320,71
7560,71
8400,64
8520,64
8640,74
8880,74
9000,74
9240,73
9480,73
10800,69
10920,69
11160,71
11400,71
11640,64
11880,64
12120,62
12360,62
12600,61
12840,64
14640,69
14760,69
15000,71
15240,71
16080,64
16200,64
16320,74
16560,74
16680,74
16920,73
17160,73
18480,69
18600,69
18840,71
19080,71
19320,64
19560,64
19800,62
20040,62
20280,61
20520,64
21480,64
21600,69
21840,68
21960,69
23400,64
23520,69
23640,69
23760,68
23880,69
25320,64
25440,69
25560,69
25680,68
25800,69
27240,64
27360,69
27600,68
27720,69
29160,64
29280,73
29400,71
29520,69
29640,68
29760,66
30000,66
30240,64
30360,66
30480,64
30720,61
31080,64
31200,73
31320,71
31440,69
31560,68
31680,66
31920,66
32160,64
32280,66
32400,68
32640,69
33000,64
33120,73
33240,71
33360,69
33480,68
33600,66
33840,66
34080,64
34200,66
34320,64
34560,61
34920,64
35040,73
35160,71
35280,69
35400,76
35880,69
36000,69
36120,69
36240,68
36360,69
38640,69
38760,69
39000,71
39240,71
40080,64
40200,64
40320,74
40560,74
40680,74
40920,73
41160,73
42480,69
42600,69
42840,71
43080,71
43320,64
43560,64
43800,62
44040,62
44280,61
44520,64
46320,69
46440,69
46680,71
46920,71
47640,64
47760,64
47880,64
48000,74
48240,74
48360,74
48600,73
48840,73
50160,69
50280,69
50520,71
50760,71
51000,64
51240,64
51480,62
51720,62
51960,61
52200,64
53160,64
53280,69
53520,68
53640,69
55080,64
55200,69
55320,69
55440,68
55560,69
57000,64
57120,69
57240,69
57360,68
57480,69
58920,64
59040,69
59280,68
59400,69
60840,64
60960,73
61080,71
61200,69
61320,68
61440,66
61680,66
61920,64
62040,66
62160,64
62400,61
62760,64
62880,73
63000,71
63120,69
63240,68
63360,66
63600,66
63840,64
63960,66
64080,68
64320,69
64680,64
64800,73
64920,71
65040,69
65160,68
65280,66
65520,66
65760,64
65880,66
66000,64
66240,61
66600,64
66720,73
66840,71
66960,69
67080,76
67560,69
67680,69
67800,69
67920,68
68040,69
77160,66
77280,75
77400,73
77520,71
77640,70
77760,68
78000,68
78240,66
78360,68
78480,66
78720,63
79080,66
79200,75
79320,73
79440,71
79560,70
79680,68
79920,68
80160,66
80280,68
80400,70
80640,71
81000,66
81120,75
81240,73
81360,71
81480,70
81600,68
81840,68
82080,66
82200,68
82320,66
82560,63
82920,66
83040,75
83160,73
83280,71
83400,78
83880,71
84000,71
84120,71
84240,70
84360,71
84840,66
84960,75
85080,73
85200,71
85320,70
85440,68
85680,68
85920,66
86040,68
86160,66
86400,63
86760,66
86880,75
87000,73
87120,71
87240,70
87360,68
87600,68
87840,66
87960,68
88080,70
88320,71
88680,66
88800,75
88920,73
89040,71
89160,70
89280,68
89520,68
89760,66
89880,68
90000,66
90240,63
90600,66
90720,75
90840,73
90960,71
91080,78
91560,71
91680,71
91800,71
91920,70
92040,71
93480,66
93600,75
93720,73
93840,71
93960,78
94440,71
94560,71
94680,71
94800,70
94920,71
96000,68
96240,71
96480,70
96720,73
96960,71
97200,75
97440,73
97680,78
97920,75
