time,semitone
15360,55
15360,55
15600,55
15840,55
16080,52
16320,55
17040,57
17280,55
17760,53
18960,52
19200,50
19440,50
19680,50
19920,52
20160,53
20880,55
21120,53
21600,52
22800,50
23040,48
23280,48
23520,48
23760,50
24000,52
24720,52
24960,52
25200,50
25440,50
25680,52
25920,53
26640,45
26880,45
27120,45
27360,45
27600,47
27840,48
28320,52
28800,50
30720,55
30960,55
31200,55
31440,52
31680,55
32400,57
32640,55
33120,53
34320,52
34560,50
34800,50
35040,50
35280,52
35520,53
36240,55
36480,53
36960,52
38160,50
38400,48
38640,48
38880,48
39120,50
39360,52
40080,52
40320,52
40560,50
40800,50
41040,52
41280,53
42000,45
42240,45
42480,45
42720,45
42960,47
43200,48
43680,52
44160,55
45360,62
45600,62
45840,60
46080,62
46560,62
46800,60
47040,59
47280,60
47520,62
47760,60
48000,53
49200,50
49440,53
49680,60
49920,60
50400,59
51120,57
51360,55
51600,53
51840,53
52320,52
53520,52
53760,57
54240,57
54480,58
54720,57
54960,55
55200,53
55440,52
55680,55
56160,53
56880,60
57120,60
57360,60
57600,60
58080,59
58800,59
59040,60
59280,62
59520,62
60000,60
63360,55
63360,55
63600,55
63840,55
64080,52
64320,55
65040,57
65280,55
65760,53
66960,52
67200,50
67440,50
67680,50
67920,52
68160,53
68880,55
69120,53
69600,52
70800,50
71040,48
71280,48
71520,48
71760,50
72000,52
72720,52
72960,52
73200,50
73440,50
73680,52
73920,53
74640,45
74880,45
75120,45
75360,45
75600,47
75840,48
76320,52
76800,55
79920,62
80160,62
80400,60
80640,62
81120,62
81360,60
81600,59
81840,60
82080,62
82320,60
82560,53
83760,50
84000,53
84240,60
84480,60
84960,59
85680,57
85920,55
86160,53
86400,53
86880,52
88080,52
88320,57
88800,57
89040,58
89280,57
89520,55
89760,53
90000,52
90240,55
90720,53
91440,60
91680,60
91920,60
92160,60
92640,59
93360,59
93600,60
93840,62
94080,62
94560,60
98160,57
98400,57
98640,59
98880,61
99360,57
99840,64
100320,65
102000,55
102240,55
102480,57
102720,59
103200,55
103680,62
104160,64
105840,57
106080,57
106320,59
106560,61
107040,57
107520,67
108000,65
109680,65
109920,65
110160,64
110400,62
110640,60
110880,59
111120,60
111360,62
129840,64
130080,64
130320,62
130560,64
131040,64
131280,62
131520,61
131760,62
132000,64
132240,62
132480,55
133680,52
133920,55
134160,62
134400,62
134880,61
135600,59
135840,57
136080,55
136320,55
136800,54
138000,54
138240,59
138720,59
138960,60
139200,59
139440,57
139680,55
139920,54
140160,57
140640,55
141360,62
141600,62
141840,62
142080,62
142560,61
143280,61
143520,62
143760,64
144000,64
144480,62
145920,64
147120,66
147360,64
147600,62
147840,64
148320,64
148560,62
148800,61
149040,62
149280,64
149520,62
149760,55
150960,52
151200,55
151440,62
151680,62
152160,61
152880,59
153120,57
153360,55
153600,55
154080,54
155280,54
155520,59
156000,59
156240,60
156480,59
156720,57
156960,55
157200,54
157440,57
157920,55
158640,62
158880,62
159120,62
159360,62
159840,61
160560,61
160800,62
161040,64
161280,64
161760,62
162480,64
162720,64
162960,62
163200,64
163200,64
163680,64
163920,62
164160,61
164400,62
164640,64
164880,62
165120,55
166320,52
166560,55
166800,62
167040,62
167520,61
168240,59
168480,57
168720,55
168960,55
169440,54
170640,54
170880,59
171360,59
171600,60
171840,59
172080,57
172320,55
172560,54
172800,57
173280,55
174000,62
174240,62
174480,62
174720,62
175200,61
175920,61
176160,62
176400,64
176640,64
177120,62
177840,62
178080,62
178320,59
178560,62
179040,61
179760,61
180000,62
180240,64
180480,64
180960,62
181680,62
181920,62
182160,59
182400,62
182880,61
186000,61
186240,62
186480,64
186720,64
187200,62
