time,semitone
5760,61
7680,61
9600,61
11520,61
13440,61
21120,63
21600,63
21840,63
22320,63
23040,62
24960,60
25680,60
26160,58
26880,58
28800,63
29280,63
29520,63
30000,65
30720,67
31680,62
32400,58
32640,60
33120,60
33360,60
33840,63
34560,62
36480,63
36960,63
37200,63
37680,65
37920,67
38400,62
40320,60
40800,60
41040,60
41520,63
42240,63
43200,62
44160,63
44640,63
44880,63
45360,65
46080,67
46560,68
46800,67
47280,65
47520,63
48000,68
48720,67
49200,65
49920,65
54720,63
55200,62
55680,63
56400,63
56640,63
56880,65
57120,67
57600,65
58320,65
58560,65
58800,67
59040,68
59520,68
60000,67
60480,67
62400,63
62880,62
63360,63
64080,63
64320,63
64560,65
64800,67
65280,65
66000,65
66240,65
66480,67
66720,68
67200,68
68160,67
70080,67
70320,67
70560,70
71040,70
71520,63
71760,63
72000,63
72240,63
72480,65
72960,65
73920,67
74160,67
74400,70
74880,70
75360,63
75600,63
75840,63
76080,62
76320,63
76800,63
77520,58
77760,67
78240,65
78720,63
79440,68
79680,68
79920,68
80160,68
80640,62
81360,62
81600,62
81840,62
82080,63
82560,63
84480,62
86400,60
88080,58
88200,60
88320,58
90240,63
90720,63
90960,63
91440,63
92160,62
93840,58
94080,60
94560,60
94800,60
95280,60
96000,58
97920,63
98400,63
98640,63
99120,65
99840,67
100800,62
101520,58
101760,60
102240,60
102480,60
102960,63
103680,62
105600,63
106080,63
106320,63
106800,65
107040,67
107520,62
109200,58
109440,60
110160,60
110640,63
111360,63
112320,62
113280,63
113760,63
114000,63
114480,65
114960,67
115440,68
115920,67
116400,65
116640,63
116880,63
117120,68
117840,67
118320,65
119040,65
121920,63
122400,62
122880,63
123600,63
123840,63
124080,65
124320,67
124800,65
125520,65
125760,65
126000,67
126240,68
126720,68
127200,67
127680,67
129600,63
130080,62
130560,63
131280,63
131520,63
131760,65
132000,67
132480,65
133200,65
133440,65
133680,67
133920,68
134400,68
135360,67
137280,67
137520,67
137760,70
138240,70
138720,63
138960,63
139200,63
139440,63
139680,65
140160,65
141120,67
141360,67
141600,70
142080,70
142560,63
142800,63
143040,63
143280,62
143520,63
144000,63
144720,58
144960,67
145440,65
145920,63
146640,68
146880,68
147120,68
147360,68
147840,62
148560,62
148800,62
149040,62
149280,63
149760,63
153600,67
154080,67
154320,67
154800,68
155040,67
155280,65
157200,58
157440,65
157920,65
158160,65
158640,67
158880,68
159120,68
160320,67
161040,58
161280,67
161760,67
162000,67
162480,70
163200,70
164160,65
164880,58
165120,68
165840,68
166320,70
167040,70
172800,69
173760,69
174240,67
174720,65
175440,65
175680,65
175920,67
176160,69
176640,67
177360,67
177600,67
177840,69
178080,70
178560,70
179040,69
179520,72
181440,69
181920,67
182400,65
183120,65
183360,65
183600,67
183840,69
184320,67
185040,67
185280,67
185520,69
185760,70
186240,70
187200,69
187680,72
188160,72
189120,72
189360,72
189600,72
190080,72
190560,65
190800,65
191040,65
191280,65
191520,67
192000,67
192960,69
193200,69
193440,72
193920,72
194400,65
194640,65
194880,65
195120,64
195360,65
195840,65
196560,60
196800,69
197280,67
197760,65
198480,70
198720,70
198960,70
199200,70
199680,64
200400,64
200640,64
200880,64
201120,65
201600,65
203520,65
204480,65
204960,64
205440,62
206160,62
206400,62
206640,64
206880,65
207360,64
208080,64
208320,64
208560,65
208800,67
209280,67
209760,65
210240,65
212160,65
212640,64
213120,62
213840,62
214080,62
214320,64
214560,65
215040,64
215760,64
216000,64
216240,65
216480,67
216960,67
217920,65
219840,69
220080,69
220320,72
220800,72
221280,65
221520,65
221760,65
222000,65
222240,67
222720,67
223680,69
223920,69
224160,72
224640,72
225120,65
225360,65
225600,65
225840,64
226080,65
226560,65
227280,60
227520,69
228000,67
228480,65
229200,70
229440,70
229680,70
229920,70
230400,64
231120,64
231360,64
231600,64
231840,65
232320,65
234960,60
235200,69
235680,67
236160,65
236880,70
237120,70
237360,70
237600,70
238080,64
238800,64
239040,64
239280,64
239520,65
240000,65
241920,64
243840,62
245760,60
247680,65
248880,67
249120,69
249600,64
251520,62
253440,60
