time,semitone
13980,66
14220,64
14460,66
14700,64
14940,66
15180,69
15420,71
15900,69
17820,66
18060,64
18300,66
18540,64
18780,66
19020,69
19260,69
19740,64
21660,66
21900,64
22140,66
22380,64
22560,66
22860,69
23100,71
23580,69
25500,66
25740,64
25980,66
26160,64
26400,66
26700,69
26940,69
27420,64
29340,62
29580,59
29820,62
30000,59
30240,62
30540,64
30780,66
31260,64
33180,62
33420,59
33660,62
33900,59
34080,62
34320,64
34620,66
35100,64
37020,66
37260,64
37500,66
37740,64
37980,66
38220,69
38460,71
38940,69
40860,66
41100,64
41340,66
41580,64
41760,66
42000,69
42240,69
42780,64
44700,66
44940,64
45180,66
45420,64
45600,66
45900,69
46140,71
46620,69
48540,66
48780,64
49020,66
49260,64
49500,66
49740,69
49980,69
50400,64
52380,62
52620,59
52860,62
53040,59
53340,62
53580,64
53820,66
54240,64
56220,62
56460,59
56700,62
56940,59
57180,62
57420,64
57660,66
58140,64
59820,74
60060,74
60300,69
60540,69
61740,76
61980,76
62220,69
62460,69
63660,74
63900,74
64140,69
64380,69
64800,66
65100,71
65580,69
65820,69
67500,74
67740,74
67980,69
68220,69
69420,76
69660,76
69900,69
70140,69
71340,74
71580,74
71820,69
72060,69
72540,66
72780,71
73260,69
73500,69
74460,69
74940,67
75180,66
75420,67
75720,74
76620,66
76860,67
77100,66
77340,67
77580,76
78300,74
78780,74
86940,66
87180,64
87420,66
87660,64
87900,66
88140,69
88380,71
88860,69
90780,66
91020,64
91260,66
91500,64
91680,66
91920,69
92160,69
92700,64
94620,66
94860,64
95100,66
95340,64
95520,66
95820,69
96060,71
96540,69
98460,66
98700,64
98940,66
99180,64
99420,66
99660,69
99900,69
100320,64
102300,62
102540,59
102780,62
102960,59
103260,62
103500,64
103740,66
104160,64
106140,62
106380,59
106620,62
106860,59
107100,62
107340,64
107580,66
108060,64
111660,74
111900,74
112140,69
112380,69
113580,76
113820,76
114060,69
114300,69
115500,74
115740,74
115980,69
116220,69
116640,66
116940,71
117420,69
117660,69
119340,74
119580,74
119820,69
120060,69
121260,76
121500,76
121740,69
121980,69
123180,74
123420,74
123660,69
123900,69
124380,66
124620,71
125100,69
125340,69
126300,69
126780,67
127020,66
127260,67
127560,74
128460,66
128700,67
128940,66
129180,67
129420,76
130140,74
130620,74
134940,76
135420,76
135660,74
135900,73
136140,71
136380,69
138060,67
138300,66
139020,64
139260,66
139500,64
139740,66
139980,71
139980,69
140220,71
142620,76
143100,76
143340,74
143580,73
143820,71
144060,69
145740,67
145980,66
146520,66
146700,64
146940,66
147180,64
147420,66
147660,73
147900,71
186540,76
186780,76
187020,71
187260,71
188460,78
188700,78
188940,71
189180,71
190380,76
190620,76
190860,71
191100,71
191520,68
191820,73
192300,71
192540,71
194220,76
194460,76
194700,71
194940,71
196140,78
196380,78
196620,71
196860,71
198060,76
198300,76
198540,71
198780,71
199260,68
199500,73
199980,71
200220,71
201180,71
201660,69
201900,68
202140,69
202440,76
203340,68
203580,69
203820,68
204060,69
204300,78
205020,76
205500,76
209580,76
209820,76
210060,71
210300,71
211500,78
211740,78
211980,71
212220,71
213420,76
213660,76
213900,71
214140,71
214560,68
214860,73
215340,71
215580,71
217260,76
217500,76
217740,71
217980,71
219180,78
219420,78
219660,71
219900,71
221100,76
221340,76
221580,71
221820,71
222300,68
222540,73
223020,71
223260,71
224220,71
224700,69
224940,68
225180,69
225480,76
226380,68
226620,69
226860,68
227100,69
227340,78
228060,76
228540,76
235740,71
236220,69
236460,68
236700,69
236940,76
237900,68
238080,69
238320,68
238560,69
238860,78
239580,76
240240,76
