time,semitone
1500,55
2820,55
4320,55
8340,62
8640,70
9360,70
9840,67
10080,69
11340,62
11520,70
11760,70
12000,70
12240,72
12720,70
12960,69
14160,62
14400,67
15120,69
15600,67
15840,66
16560,62
17100,62
17280,67
17520,67
17760,67
18000,69
18480,67
18720,66
19440,62
19920,62
20160,70
20880,70
21360,67
21600,69
22800,62
23040,70
23280,70
23520,70
23700,70
23940,72
24180,70
24480,74
25200,69
25920,67
26640,69
27120,67
27360,66
28080,62
28620,62
28800,67
29040,67
29280,67
29520,67
29760,69
30000,70
30240,72
31560,65
32940,65
33120,77
34320,77
34560,77
34800,75
35040,74
35280,72
35700,70
36000,67
36720,74
37440,72
38640,65
38940,77
40080,77
40320,77
40560,75
40800,74
41040,72
41460,70
41760,67
42480,74
43200,72
43920,70
44160,72
44400,70
44640,74
45780,74
46080,74
47280,72
47520,70
48000,70
48540,72
48780,74
48960,72
50040,67
50220,69
50460,70
50880,70
51120,70
51600,67
51840,65
52080,65
52320,67
52500,70
52740,72
53040,67
53280,70
59100,70
59760,70
60240,67
60480,69
61680,62
61920,70
62160,70
62400,70
62640,70
62880,72
63120,70
63360,69
64080,62
64800,67
65520,69
66000,67
66240,66
67500,62
67740,67
67920,67
68160,67
68400,69
68880,67
69120,66
69840,62
70560,70
71220,72
71760,70
72000,69
73200,62
73440,70
73680,70
73920,70
74160,72
74640,70
74880,74
75600,69
76320,67
77040,69
77520,67
77760,66
78480,62
78960,62
79200,67
79440,67
79680,67
79920,67
80160,69
80400,70
80640,72
83280,65
83520,77
84720,77
84900,77
85140,75
85380,74
85620,72
86100,70
86340,67
87120,74
87780,72
89040,65
89280,77
90480,77
90660,77
90900,75
91140,74
91380,72
91800,70
92100,67
92880,74
93540,72
94260,70
94500,72
94740,70
95040,74
96180,74
96420,74
97620,72
97920,70
98340,70
98880,72
99120,74
99360,72
100380,67
100560,69
100800,70
101220,70
101460,70
102000,67
102240,65
102480,65
102660,67
102900,70
103140,72
103380,67
103620,70
125040,65
125280,77
126480,77
126660,77
126900,75
127140,74
127380,72
127860,70
128100,67
128880,74
129540,72
130800,65
131040,77
132240,77
132420,77
132660,75
132900,74
133140,72
133560,70
133860,67
134640,74
135300,72
136020,70
136260,72
136500,70
136800,74
137940,74
138180,74
139380,72
139680,70
140100,70
140640,72
140880,74
141120,72
142140,67
142320,69
142560,70
142980,70
143220,70
143760,67
144000,65
144240,65
144420,67
144660,70
144900,72
145140,67
145380,70
150960,67
151200,79
152400,79
152640,79
152880,77
153120,76
153360,74
153720,72
154080,69
154800,76
155520,74
156720,67
156960,79
158160,79
158400,79
158640,77
158880,76
159120,74
159480,72
159840,69
160560,76
161280,74
162480,67
162720,79
163920,79
164160,79
164400,77
164640,76
164880,74
165240,72
165600,69
166320,76
167040,74
168240,67
168480,79
169680,79
169920,79
170160,77
170400,76
170640,74
171000,72
171360,69
172080,76
172800,74
173520,72
173760,74
174000,72
174240,76
175320,76
175680,76
176880,74
177120,72
177600,72
178080,74
178320,76
178560,74
179640,69
179760,71
180000,72
180480,72
180720,72
181200,69
181440,67
181680,67
181920,69
182040,72
182280,74
182640,69
182880,72
193680,72
193920,74
194160,72
194400,76
195600,76
195840,76
197040,74
197280,72
197760,72
198240,74
198480,76
198720,74
199680,69
199920,71
200160,72
200580,72
200880,72
201360,69
201600,67
201840,67
202080,69
202260,72
202560,74
202800,69
203040,72
209040,67
209280,69
209520,72
209760,74
210000,69
210240,72
